dimension,value,condition,targets,full_tp,recall,tp_retention
size_bin,16-32,full_none,72,46,0.6388888888888888,1.0
size_bin,16-32,r1_gray,72,46,0.25,0.3695652173913043
size_bin,16-32,r1_mean,72,46,0.4305555555555556,0.5869565217391305
size_bin,16-32,r2_gray,72,46,0.4305555555555556,0.6521739130434783
size_bin,16-32,r2_mean,72,46,0.5138888888888888,0.7608695652173914
size_bin,16-32,r4_gray,72,46,0.5138888888888888,0.782608695652174
size_bin,16-32,r4_mean,72,46,0.5694444444444444,0.8695652173913043
size_bin,16-32,r8_gray,72,46,0.5833333333333334,0.8913043478260869
size_bin,16-32,r8_mean,72,46,0.6111111111111112,0.9347826086956522
size_bin,8-16,full_none,57,28,0.49122807017543857,1.0
size_bin,8-16,r1_gray,57,28,0.14035087719298245,0.14285714285714285
size_bin,8-16,r1_mean,57,28,0.43859649122807015,0.4642857142857143
size_bin,8-16,r2_gray,57,28,0.15789473684210525,0.2857142857142857
size_bin,8-16,r2_mean,57,28,0.24561403508771928,0.42857142857142855
size_bin,8-16,r4_gray,57,28,0.3684210526315789,0.6785714285714286
size_bin,8-16,r4_mean,57,28,0.45614035087719296,0.75
size_bin,8-16,r8_gray,57,28,0.49122807017543857,0.8571428571428571
size_bin,8-16,r8_mean,57,28,0.5087719298245614,0.8928571428571429
size_bin,>=32,full_none,42,23,0.5476190476190477,1.0
size_bin,>=32,r1_gray,42,23,0.4523809523809524,0.8260869565217391
size_bin,>=32,r1_mean,42,23,0.5,0.9130434782608695
size_bin,>=32,r2_gray,42,23,0.5476190476190477,1.0
size_bin,>=32,r2_mean,42,23,0.5238095238095238,0.9565217391304348
size_bin,>=32,r4_gray,42,23,0.5476190476190477,1.0
size_bin,>=32,r4_mean,42,23,0.5476190476190477,1.0
size_bin,>=32,r8_gray,42,23,0.5476190476190477,1.0
size_bin,>=32,r8_mean,42,23,0.5476190476190477,1.0
bat_relation,far,full_none,73,45,0.6164383561643836,1.0
bat_relation,far,r1_gray,73,45,0.2602739726027397,0.35555555555555557
bat_relation,far,r1_mean,73,45,0.4383561643835616,0.5777777777777777
bat_relation,far,r2_gray,73,45,0.3698630136986301,0.5777777777777777
bat_relation,far,r2_mean,73,45,0.4520547945205479,0.6888888888888889
bat_relation,far,r4_gray,73,45,0.4931506849315068,0.7777777777777778
bat_relation,far,r4_mean,73,45,0.5753424657534246,0.8666666666666667
bat_relation,far,r8_gray,73,45,0.6164383561643836,0.9555555555555556
bat_relation,far,r8_mean,73,45,0.6164383561643836,0.9555555555555556
bat_relation,near,full_none,17,9,0.5294117647058824,1.0
bat_relation,near,r1_gray,17,9,0.17647058823529413,0.3333333333333333
bat_relation,near,r1_mean,17,9,0.4117647058823529,0.6666666666666666
bat_relation,near,r2_gray,17,9,0.35294117647058826,0.6666666666666666
bat_relation,near,r2_mean,17,9,0.35294117647058826,0.6666666666666666
bat_relation,near,r4_gray,17,9,0.5294117647058824,0.8888888888888888
bat_relation,near,r4_mean,17,9,0.5294117647058824,0.8888888888888888
bat_relation,near,r8_gray,17,9,0.47058823529411764,0.7777777777777778
bat_relation,near,r8_mean,17,9,0.47058823529411764,0.7777777777777778
bat_relation,no_bat,full_none,58,36,0.6206896551724138,1.0
bat_relation,no_bat,r1_gray,58,36,0.3103448275862069,0.5
bat_relation,no_bat,r1_mean,58,36,0.5344827586206896,0.6388888888888888
bat_relation,no_bat,r2_gray,58,36,0.4482758620689655,0.7222222222222222
bat_relation,no_bat,r2_mean,58,36,0.5,0.7777777777777778
bat_relation,no_bat,r4_gray,58,36,0.5517241379310345,0.8888888888888888
bat_relation,no_bat,r4_mean,58,36,0.5862068965517241,0.9166666666666666
bat_relation,no_bat,r8_gray,58,36,0.5862068965517241,0.9166666666666666
bat_relation,no_bat,r8_mean,58,36,0.603448275862069,0.9444444444444444
bat_relation,overlap,full_none,25,7,0.28,1.0
bat_relation,overlap,r1_gray,25,7,0.2,0.42857142857142855
bat_relation,overlap,r1_mean,25,7,0.32,0.8571428571428571
bat_relation,overlap,r2_gray,25,7,0.16,0.42857142857142855
bat_relation,overlap,r2_mean,25,7,0.2,0.5714285714285714
bat_relation,overlap,r4_gray,25,7,0.16,0.42857142857142855
bat_relation,overlap,r4_mean,25,7,0.2,0.5714285714285714
bat_relation,overlap,r8_gray,25,7,0.24,0.7142857142857143
bat_relation,overlap,r8_mean,25,7,0.32,1.0
