step,time_unix,metric,value
0,1789070730.1049776,images/detect,118287.0
0,1789070730.1049776,images/pose,7404.0
0,1789070730.1049776,loss/detect_mean,1.645879766977694
0,1789070730.1049776,loss/joint_mean,1.5726301409350265
0,1789070730.1049776,loss/pose_mean,1.278688046044752
0,1789070730.1049776,macros,463.0
0,1789070730.1049776,passes/detect,1.0
0,1789070730.1049776,passes/pose,1.2414486921529175
0,1789070730.1049776,pose_wraps,1.0
1,1789071623.2732086,images/detect,118287.0
1,1789071623.2732086,images/pose,7404.0
1,1789071623.2732086,loss/detect_mean,1.67727731054578
1,1789071623.2732086,loss/joint_mean,1.5955387652744217
1,1789071623.2732086,loss/pose_mean,1.2729197450098897
1,1789071623.2732086,macros,463.0
1,1789071623.2732086,passes/detect,1.0
1,1789071623.2732086,passes/pose,1.2414486921529175
1,1789071623.2732086,pose_wraps,1.0
2,1789072519.1716595,images/detect,118287.0
2,1789072519.1716595,images/pose,7404.0
2,1789072519.1716595,loss/detect_mean,1.7113038546090473
2,1789072519.1716595,loss/joint_mean,1.6215141662039105
2,1789072519.1716595,loss/pose_mean,1.2645912228372533
2,1789072519.1716595,macros,463.0
2,1789072519.1716595,passes/detect,1.0
2,1789072519.1716595,passes/pose,1.2414486921529175
2,1789072519.1716595,pose_wraps,1.0
3,1789073416.8267663,images/detect,118287.0
3,1789073416.8267663,images/pose,7404.0
3,1789073416.8267663,loss/detect_mean,1.745663322573149
3,1789073416.8267663,loss/joint_mean,1.653624397222734
3,1789073416.8267663,loss/pose_mean,1.2847372084163704
3,1789073416.8267663,macros,463.0
3,1789073416.8267663,passes/detect,1.0
3,1789073416.8267663,passes/pose,1.2414486921529175
3,1789073416.8267663,pose_wraps,1.0
4,1789074313.8455667,images/detect,118287.0
4,1789074313.8455667,images/pose,7404.0
4,1789074313.8455667,loss/detect_mean,1.7780299404350395
4,1789074313.8455667,loss/joint_mean,1.678990084531926
4,1789074313.8455667,loss/pose_mean,1.2799864432284924
4,1789074313.8455667,macros,463.0
4,1789074313.8455667,passes/detect,1.0
4,1789074313.8455667,passes/pose,1.2414486921529175
4,1789074313.8455667,pose_wraps,1.0
5,1789075210.4479654,images/detect,118287.0
5,1789075210.4479654,images/pose,7404.0
5,1789075210.4479654,loss/detect_mean,1.812127279580424
5,1789075210.4479654,loss/joint_mean,1.7020394370957534
5,1789075210.4479654,loss/pose_mean,1.2617115563537415
5,1789075210.4479654,macros,463.0
5,1789075210.4479654,passes/detect,1.0
5,1789075210.4479654,passes/pose,1.2414486921529175
5,1789075210.4479654,pose_wraps,1.0
6,1789076106.0127614,images/detect,118287.0
6,1789076106.0127614,images/pose,7404.0
6,1789076106.0127614,loss/detect_mean,1.843313391439414
6,1789076106.0127614,loss/joint_mean,1.7275367995094617
6,1789076106.0127614,loss/pose_mean,1.2659495350865013
6,1789076106.0127614,macros,463.0
6,1789076106.0127614,passes/detect,1.0
6,1789076106.0127614,passes/pose,1.2414486921529175
6,1789076106.0127614,pose_wraps,1.0
7,1789077004.7835205,images/detect,118287.0
7,1789077004.7835205,images/pose,7404.0
7,1789077004.7835205,loss/detect_mean,1.8784443470073362
7,1789077004.7835205,loss/joint_mean,1.756266625296564
7,1789077004.7835205,loss/pose_mean,1.2662926401594792
7,1789077004.7835205,macros,463.0
7,1789077004.7835205,passes/detect,1.0
7,1789077004.7835205,passes/pose,1.2414486921529175
7,1789077004.7835205,pose_wraps,1.0
8,1789077903.8473916,images/detect,118287.0
8,1789077903.8473916,images/pose,7404.0
8,1789077903.8473916,loss/detect_mean,1.9070184688727267
8,1789077903.8473916,loss/joint_mean,1.782719244624834
8,1789077903.8473916,loss/pose_mean,1.2830329155161986
8,1789077903.8473916,macros,463.0
8,1789077903.8473916,passes/detect,1.0
8,1789077903.8473916,passes/pose,1.2414486921529175
8,1789077903.8473916,pose_wraps,1.0
9,1789078800.6019394,images/detect,118287.0
9,1789078800.6019394,images/pose,7404.0
9,1789078800.6019394,loss/detect_mean,1.943473459431934
9,1789078800.6019394,loss/joint_mean,1.8095502077769343
9,1789078800.6019394,loss/pose_mean,1.2701072162193328
9,1789078800.6019394,macros,463.0
9,1789078800.6019394,passes/detect,1.0
9,1789078800.6019394,passes/pose,1.2414486921529175
9,1789078800.6019394,pose_wraps,1.0
