step,time_unix,metric,value
0,1788875850.0586128,amp/overflow_retries,4.0
0,1788875850.0586128,amp/scale,4096.0
0,1788875850.0586128,detect/component_0,1.0206730365753174
0,1788875850.0586128,detect/component_1,0.9709469676017761
0,1788875850.0586128,detect/component_2,0.006306481547653675
0,1788875850.0586128,gradient/clipped_norm,115.69918060302734
0,1788875850.0586128,gradient/detect_shared_norm,86.16291226627615
0,1788875850.0586128,gradient/pose_shared_norm,50.003176337321186
0,1788875850.0586128,gradient/shared_cosine,-0.03344812653937726
0,1788875850.0586128,images/detect,256.0
0,1788875850.0586128,images/pose,16.0
0,1788875850.0586128,loss/backward,100.45257949829102
0,1788875850.0586128,loss/detect_mean,1.767562448978424
0,1788875850.0586128,loss/joint_mean,1.5695715546607971
0,1788875850.0586128,loss/pose_mean,0.7776079773902893
0,1788875850.0586128,lr/attention.decay,0.0
0,1788875850.0586128,lr/attention.no_decay,0.0
0,1788875850.0586128,lr/backbone.decay,0.0
0,1788875850.0586128,lr/backbone.no_decay,0.0
0,1788875850.0586128,lr/detect_head.decay,6.371490280777538e-07
0,1788875850.0586128,lr/detect_head.no_decay,6.371490280777538e-07
0,1788875850.0586128,lr/masf.decay,0.0
0,1788875850.0586128,lr/masf.no_decay,0.0
0,1788875850.0586128,lr/neck.decay,2.548596112311015e-07
0,1788875850.0586128,lr/neck.no_decay,2.548596112311015e-07
0,1788875850.0586128,lr/pose_head.decay,6.371490280777538e-07
0,1788875850.0586128,lr/pose_head.no_decay,6.371490280777538e-07
0,1788875850.0586128,pose/component_0,0.5584069490432739
0,1788875850.0586128,pose/component_1,0.014627337455749512
0,1788875850.0586128,pose/component_2,0.0013294392265379429
0,1788875850.0586128,pose/component_3,0.22961321473121643
0,1788875850.0586128,pose/component_4,0.0015852905344218016
0,1788875850.0586128,pose/component_5,0.0
1,1788875851.2008617,amp/overflow_retries,0.0
1,1788875851.2008617,amp/scale,4096.0
1,1788875851.2008617,detect/component_0,1.0701313018798828
1,1788875851.2008617,detect/component_1,0.934371829032898
1,1788875851.2008617,detect/component_2,0.006150979083031416
1,1788875851.2008617,gradient/clipped_norm,139.5276641845703
1,1788875851.2008617,images/detect,256.0
1,1788875851.2008617,images/pose,16.0
1,1788875851.2008617,loss/backward,102.67632446289062
1,1788875851.2008617,loss/detect_mean,1.7832443416118622
1,1788875851.2008617,loss/joint_mean,1.604317569732666
1,1788875851.2008617,loss/pose_mean,0.8886104822158813
1,1788875851.2008617,lr/attention.decay,0.0
1,1788875851.2008617,lr/attention.no_decay,0.0
1,1788875851.2008617,lr/backbone.decay,0.0
1,1788875851.2008617,lr/backbone.no_decay,0.0
1,1788875851.2008617,lr/detect_head.decay,6.492980561555076e-07
1,1788875851.2008617,lr/detect_head.no_decay,6.492980561555076e-07
1,1788875851.2008617,lr/masf.decay,0.0
1,1788875851.2008617,lr/masf.no_decay,0.0
1,1788875851.2008617,lr/neck.decay,2.5971922246220304e-07
1,1788875851.2008617,lr/neck.no_decay,2.5971922246220304e-07
1,1788875851.2008617,lr/pose_head.decay,6.492980561555076e-07
1,1788875851.2008617,lr/pose_head.no_decay,6.492980561555076e-07
1,1788875851.2008617,pose/component_0,0.6070310473442078
1,1788875851.2008617,pose/component_1,0.013928515836596489
1,1788875851.2008617,pose/component_2,0.0016274874797090888
1,1788875851.2008617,pose/component_3,0.29985082149505615
1,1788875851.2008617,pose/component_4,0.0017686901846900582
1,1788875851.2008617,pose/component_5,0.0
2,1788875852.3331707,amp/overflow_retries,0.0
2,1788875852.3331707,amp/scale,4096.0
2,1788875852.3331707,detect/component_0,1.0401164293289185
2,1788875852.3331707,detect/component_1,0.9382424354553223
2,1788875852.3331707,detect/component_2,0.006789902225136757
2,1788875852.3331707,gradient/clipped_norm,153.7471160888672
2,1788875852.3331707,images/detect,256.0
2,1788875852.3331707,images/pose,16.0
2,1788875852.3331707,loss/backward,103.59546737670898
2,1788875852.3331707,loss/detect_mean,1.7742649167776108
2,1788875852.3331707,loss/joint_mean,1.6186791777610778
2,1788875852.3331707,loss/pose_mean,0.9963362216949463
2,1788875852.3331707,lr/attention.decay,0.0
