step,time_unix,metric,value
0,1789009363.3655813,delta/bbat/ball/box/map50_95,-0.310437877253143
0,1789009363.3655813,delta/bbat/ball/pose/map50_95,-0.2000101739098138
0,1789009363.3655813,delta/bbat/bat/box/map50_95,-0.3038188451095922
0,1789009363.3655813,delta/bbat/bat/pose/map50_95,-0.22056445120349244
0,1789009363.3655813,delta/bbat/box/map50_95,-0.30712836118136766
0,1789009363.3655813,delta/bbat/pose/map50_95,-0.21028731255665334
0,1789009363.3655813,delta/coco/box/map50_95,0.0
0,1789009363.3655813,delta/coco/person/box/map50_95,0.0
0,1789009363.3655813,passed,0.0
0,1789009363.3655813,score/best_detect,0.5680942320524831
0,1789009363.3655813,score/best_joint,0.5727540373581452
0,1789009363.3655813,score/best_pose,0.5128542436306125
1,1789009435.908704,delta/bbat/ball/box/map50_95,-0.11911829767556281
1,1789009435.908704,delta/bbat/ball/pose/map50_95,-0.11278009003468648
1,1789009435.908704,delta/bbat/bat/box/map50_95,-0.2605384562499785
1,1789009435.908704,delta/bbat/bat/pose/map50_95,-0.22035694457557886
1,1789009435.908704,delta/bbat/box/map50_95,-0.18982837696277088
1,1789009435.908704,delta/bbat/pose/map50_95,-0.16656851730513278
1,1789009435.908704,delta/coco/box/map50_95,0.0
1,1789009435.908704,delta/coco/person/box/map50_95,0.0
1,1789009435.908704,passed,0.0
1,1789009435.908704,score/best_detect,0.5680942320524831
1,1789009435.908704,score/best_joint,0.6137015523024729
1,1789009435.908704,score/best_pose,0.5933636333656711
2,1789009508.829727,delta/bbat/ball/box/map50_95,-0.11704752667923385
2,1789009508.829727,delta/bbat/ball/pose/map50_95,-0.09687502160357597
2,1789009508.829727,delta/bbat/bat/box/map50_95,-0.19990251595865915
2,1789009508.829727,delta/bbat/bat/pose/map50_95,-0.16433678085969672
2,1789009508.829727,delta/bbat/box/map50_95,-0.15847502131894675
2,1789009508.829727,delta/bbat/pose/map50_95,-0.1306059012316364
2,1789009508.829727,delta/coco/box/map50_95,0.0
2,1789009508.829727,delta/coco/person/box/map50_95,0.0
2,1789009508.829727,passed,0.0
2,1789009508.829727,score/best_detect,0.5680942320524831
2,1789009508.829727,score/best_joint,0.6343572698606363
2,1789009508.829727,score/best_pose,0.6270216192243314
3,1789009582.311048,delta/bbat/ball/box/map50_95,-0.10202345243626831
3,1789009582.311048,delta/bbat/ball/pose/map50_95,-0.09797885814191198
3,1789009582.311048,delta/bbat/bat/box/map50_95,-0.20054944083433213
3,1789009582.311048,delta/bbat/bat/pose/map50_95,-0.15582858330754468
3,1789009582.311048,delta/bbat/box/map50_95,-0.1512864466353004
3,1789009582.311048,delta/bbat/pose/map50_95,-0.12690372072472833
3,1789009582.311048,delta/coco/box/map50_95,0.0
3,1789009582.311048,delta/coco/person/box/map50_95,0.0
