step,time_unix,metric,value
0,1789031613.3556068,delta/bbat/ball/box/map50_95,-0.042037009490626664
0,1789031613.3556068,delta/bbat/ball/pose/map50_95,-0.037443288477095105
0,1789031613.3556068,delta/bbat/bat/box/map50_95,-0.0759420163862835
0,1789031613.3556068,delta/bbat/bat/pose/map50_95,-0.060639077376703154
0,1789031613.3556068,delta/bbat/box/map50_95,-0.058989512938455224
0,1789031613.3556068,delta/bbat/pose/map50_95,-0.04904118292689896
0,1789031613.3556068,delta/coco/box/map50_95,-0.001542945018775277
0,1789031613.3556068,delta/coco/person/box/map50_95,-0.001996383026812376
0,1789031613.3556068,passed,0.0
0,1789031613.3556068,score/best_detect,0.5661683770995763
0,1789031613.3556068,score/best_joint,0.6861099168774669
0,1789031613.3556068,score/best_pose,0.7175467325669459
1,1789032194.0375621,delta/bbat/ball/box/map50_95,-0.025170378279220473
1,1789032194.0375621,delta/bbat/ball/pose/map50_95,-0.01998476615065703
1,1789032194.0375621,delta/bbat/bat/box/map50_95,-0.0579580520973072
1,1789032194.0375621,delta/bbat/bat/pose/map50_95,-0.05029955225468752
1,1789032194.0375621,delta/bbat/box/map50_95,-0.04156421518826403
1,1789032194.0375621,delta/bbat/pose/map50_95,-0.035142159202672496
1,1789032194.0375621,delta/coco/box/map50_95,-0.003720071472887776
1,1789032194.0375621,delta/coco/person/box/map50_95,-0.0026112431618545706
1,1789032194.0375621,passed,0.0
1,1789032194.0375621,score/best_detect,0.564772383804999
1,1789032194.0375621,score/best_joint,0.6945961885993648
1,1789032194.0375621,score/best_pose,0.7332088933041547
2,1789032777.0840812,delta/bbat/ball/box/map50_95,-0.017186063316179057
2,1789032777.0840812,delta/bbat/ball/pose/map50_95,-0.006087307328858205
2,1789032777.0840812,delta/bbat/bat/box/map50_95,-0.052424858300381905
2,1789032777.0840812,delta/bbat/bat/pose/map50_95,-0.04730231730256518
2,1789032777.0840812,delta/bbat/box/map50_95,-0.03480546080828051
2,1789032777.0840812,delta/bbat/pose/map50_95,-0.026694812315711802
2,1789032777.0840812,delta/coco/box/map50_95,-0.002686778780547794
2,1789032777.0840812,delta/coco/person/box/map50_95,-0.002574580931657078
2,1789032777.0840812,passed,0.0
2,1789032777.0840812,score/best_detect,0.5653073612662678
2,1789032777.0840812,score/best_joint,0.6995408692146532
2,1789032777.0840812,score/best_pose,0.7408119439376268
3,1789033360.1860392,delta/bbat/ball/box/map50_95,-0.014291474690138417
3,1789033360.1860392,delta/bbat/ball/pose/map50_95,-0.011059824303924493
3,1789033360.1860392,delta/bbat/bat/box/map50_95,-0.04565179470251579
3,1789033360.1860392,delta/bbat/bat/pose/map50_95,-0.043793944381729344
3,1789033360.1860392,delta/bbat/box/map50_95,-0.029971634696327243
3,1789033360.1860392,delta/bbat/pose/map50_95,-0.027426884342826918
3,1789033360.1860392,delta/coco/box/map50_95,-0.002854591172320675
3,1789033360.1860392,delta/coco/person/box/map50_95,-0.0016341391793712745
3,1789033360.1860392,passed,0.0
3,1789033360.1860392,score/best_detect,0.5656936759465242
3,1789033360.1860392,score/best_joint,0.7003693314983004
3,1789033360.1860392,score/best_pose,0.7428628209800459
4,1789033943.976153,delta/bbat/ball/box/map50_95,-0.014994877283412977
4,1789033943.976153,delta/bbat/ball/pose/map50_95,-0.013666753964450495
4,1789033943.976153,delta/bbat/bat/box/map50_95,-0.047638714040166064
4,1789033943.976153,delta/bbat/bat/pose/map50_95,-0.04253613047186544
4,1789033943.976153,delta/bbat/box/map50_95,-0.031316795661789576
4,1789033943.976153,delta/bbat/pose/map50_95,-0.028101442218158024
4,1789033943.976153,delta/coco/box/map50_95,-0.0036517389838901515
4,1789033943.976153,delta/coco/person/box/map50_95,-0.001977878093553209
4,1789033943.976153,passed,0.0
4,1789033943.976153,score/best_detect,0.5651232325836485
4,1789033943.976153,score/best_joint,0.6996022988099253
4,1789033943.976153,score/best_pose,0.7418529615596492
5,1789034527.7079096,delta/bbat/ball/box/map50_95,-0.014066730721812304
5,1789034527.7079096,delta/bbat/ball/pose/map50_95,-0.00918811890863791
5,1789034527.7079096,delta/bbat/bat/box/map50_95,-0.04744398842920239
5,1789034527.7079096,delta/bbat/bat/pose/map50_95,-0.038377294527384365
5,1789034527.7079096,delta/bbat/box/map50_95,-0.030755359575507457
5,1789034527.7079096,delta/bbat/pose/map50_95,-0.023782706718011193
5,1789034527.7079096,delta/coco/box/map50_95,-0.00325755930122551
5,1789034527.7079096,delta/coco/person/box/map50_95,-0.002226804226515444
5,1789034527.7079096,passed,0.0
5,1789034527.7079096,score/best_detect,0.5651958593584997
5,1789034527.7079096,score/best_joint,0.7014711309371809
5,1789034527.7079096,score/best_pose,0.7442930473528637
6,1789035110.987887,delta/bbat/ball/box/map50_95,-0.023568888435886337
6,1789035110.987887,delta/bbat/ball/pose/map50_95,-0.012491534713391927
6,1789035110.987887,delta/bbat/bat/box/map50_95,-0.0470172562287432
6,1789035110.987887,delta/bbat/bat/pose/map50_95,-0.0403391404476936
6,1789035110.987887,delta/bbat/box/map50_95,-0.035293072332314934
6,1789035110.987887,delta/bbat/pose/map50_95,-0.02641533758054282
6,1789035110.987887,delta/coco/box/map50_95,-0.0034194025585045917
6,1789035110.987887,delta/coco/person/box/map50_95,-0.0013861641094397026
6,1789035110.987887,passed,0.0
6,1789035110.987887,score/best_detect,0.5655352577883981
6,1789035110.987887,score/best_joint,0.699646295412766
6,1789035110.987887,score/best_pose,0.7407078755431942
7,1789035698.0561414,delta/bbat/ball/box/map50_95,-0.028001592388232632
7,1789035698.0561414,delta/bbat/ball/pose/map50_95,-0.020456916919660117
7,1789035698.0561414,delta/bbat/bat/box/map50_95,-0.04196690198842856
7,1789035698.0561414,delta/bbat/bat/pose/map50_95,-0.0386114326842143
7,1789035698.0561414,delta/bbat/box/map50_95,-0.03498424718833071
7,1789035698.0561414,delta/bbat/pose/map50_95,-0.029534174801937207
7,1789035698.0561414,delta/coco/box/map50_95,-0.0038941951161679533
7,1789035698.0561414,delta/coco/person/box/map50_95,-0.0015396571802737125
7,1789035698.0561414,passed,0.0
7,1789035698.0561414,score/best_detect,0.5652211149741493
7,1789035698.0561414,score/best_joint,0.6983348684273057
7,1789035698.0561414,score/best_pose,0.739302869504489
8,1789036282.678144,delta/bbat/ball/box/map50_95,-0.027826336346641445
8,1789036282.678144,delta/bbat/ball/pose/map50_95,-0.022525692832182642
8,1789036282.678144,delta/bbat/bat/box/map50_95,-0.04484905377824244
8,1789036282.678144,delta/bbat/bat/pose/map50_95,-0.03980785122712627
8,1789036282.678144,delta/bbat/box/map50_95,-0.036337695062442
8,1789036282.678144,delta/bbat/pose/map50_95,-0.031166772029654455
8,1789036282.678144,delta/coco/box/map50_95,-0.0025135711334893784
8,1789036282.678144,delta/coco/person/box/map50_95,-0.0008314797312549693
8,1789036282.678144,passed,0.0
8,1789036282.678144,score/best_detect,0.5662655156899981
8,1789036282.678144,score/best_joint,0.697828900247736
8,1789036282.678144,score/best_pose,0.7378098469535748
9,1789036864.4534054,delta/bbat/ball/box/map50_95,-0.03301987141945556
9,1789036864.4534054,delta/bbat/ball/pose/map50_95,-0.03218439525780803
9,1789036864.4534054,delta/bbat/bat/box/map50_95,-0.041330872791656925
9,1789036864.4534054,delta/bbat/bat/pose/map50_95,-0.03907343439805322
9,1789036864.4534054,delta/bbat/box/map50_95,-0.037175372105556215
9,1789036864.4534054,delta/bbat/pose/map50_95,-0.035628914827930735
9,1789036864.4534054,delta/coco/box/map50_95,-0.0031755666228054924
9,1789036864.4534054,delta/coco/person/box/map50_95,-0.0010194726563523826
9,1789036864.4534054,passed,0.0
9,1789036864.4534054,score/best_detect,0.5658405214827913
9,1789036864.4534054,score/best_joint,0.69570651003692
9,1789036864.4534054,score/best_pose,0.7351599370328795
10,1789037446.520447,delta/bbat/ball/box/map50_95,-0.029446517005903894
10,1789037446.520447,delta/bbat/ball/pose/map50_95,-0.0325013853141386
10,1789037446.520447,delta/bbat/bat/box/map50_95,-0.042930343998469844
10,1789037446.520447,delta/bbat/bat/pose/map50_95,-0.03856289586579953
10,1789037446.520447,delta/bbat/box/map50_95,-0.03618843050218701
10,1789037446.520447,delta/bbat/pose/map50_95,-0.0355321405899689
10,1789037446.520447,delta/coco/box/map50_95,-0.002504813145318918
10,1789037446.520447,delta/coco/person/box/map50_95,-0.0008736273970133546
10,1789037446.520447,passed,0.0
10,1789037446.520447,score/best_detect,0.566248820851204
10,1789037446.520447,score/best_joint,0.6961059278001436
10,1789037446.520447,score/best_pose,0.735701794953545
11,1789038029.2915313,delta/bbat/ball/box/map50_95,-0.035228483011813916
11,1789038029.2915313,delta/bbat/ball/pose/map50_95,-0.029939973499353956
11,1789038029.2915313,delta/bbat/bat/box/map50_95,-0.041677434623719534
11,1789038029.2915313,delta/bbat/bat/pose/map50_95,-0.038950293179079165
11,1789038029.2915313,delta/bbat/box/map50_95,-0.03845295881776678
11,1789038029.2915313,delta/bbat/pose/map50_95,-0.03444513333921673
11,1789038029.2915313,delta/coco/box/map50_95,-0.002981378664392853
11,1789038029.2915313,delta/coco/person/box/map50_95,-0.0006006527279498464
11,1789038029.2915313,passed,0.0
11,1789038029.2915313,score/best_detect,0.5661470254261989
11,1789038029.2915313,score/best_joint,0.6960471068673264
11,1789038029.2915313,score/best_pose,0.7351130344211312
12,1789038611.5458806,delta/bbat/ball/box/map50_95,-0.03853511534500531
12,1789038611.5458806,delta/bbat/ball/pose/map50_95,-0.02801508226007421
12,1789038611.5458806,delta/bbat/bat/box/map50_95,-0.043758799986067465
12,1789038611.5458806,delta/bbat/bat/pose/map50_95,-0.03921911537087808
12,1789038611.5458806,delta/bbat/box/map50_95,-0.041146957665536554
12,1789038611.5458806,delta/bbat/pose/map50_95,-0.03361709881547614
12,1789038611.5458806,delta/coco/box/map50_95,-0.0025726571362809647
12,1789038611.5458806,delta/coco/person/box/map50_95,-0.001051107097123971
12,1789038611.5458806,passed,0.0
12,1789038611.5458806,score/best_detect,0.5661261590056677
12,1789038611.5458806,score/best_joint,0.6958311743390564
12,1789038611.5458806,score/best_pose,0.7341800522591166
13,1789039194.5516798,delta/bbat/ball/box/map50_95,-0.02713448024162718
13,1789039194.5516798,delta/bbat/ball/pose/map50_95,-0.02625259979375938
13,1789039194.5516798,delta/bbat/bat/box/map50_95,-0.039727054966133046
13,1789039194.5516798,delta/bbat/bat/pose/map50_95,-0.036163849169591145
13,1789039194.5516798,delta/bbat/box/map50_95,-0.033430767603880085
13,1789039194.5516798,delta/bbat/pose/map50_95,-0.031208224481675373
13,1789039194.5516798,delta/coco/box/map50_95,-0.002103978375134874
13,1789039194.5516798,delta/coco/person/box/map50_95,-0.0017563486427619734
13,1789039194.5516798,passed,0.0
13,1789039194.5516798,score/best_detect,0.5660078776134218
13,1789039194.5516798,score/best_joint,0.6982906495280095
13,1789039194.5516798,score/best_pose,0.7392425844568453
