step,time_unix,metric,value
0,1789040210.3376284,best_score,0.6969380119460122
0,1789040210.3376284,improved,1.0
0,1789040210.3376284,lr_multiplier,1.0
0,1789040210.3376284,recovery_applied,0.0
0,1789040210.3376284,reductions,0.0
0,1789040210.3376284,score,0.6969380119460122
0,1789040210.3376284,should_stop,0.0
0,1789040210.3376284,stale_epochs,0.0
1,1789040799.2192721,best_score,0.6969380119460122
1,1789040799.2192721,improved,0.0
1,1789040799.2192721,lr_multiplier,1.0
1,1789040799.2192721,recovery_applied,0.0
1,1789040799.2192721,reductions,0.0
1,1789040799.2192721,score,0.6969653299654606
1,1789040799.2192721,should_stop,0.0
1,1789040799.2192721,stale_epochs,1.0
2,1789041387.8071232,best_score,0.6969380119460122
2,1789041387.8071232,improved,0.0
2,1789041387.8071232,lr_multiplier,1.0
2,1789041387.8071232,recovery_applied,0.0
2,1789041387.8071232,reductions,0.0
2,1789041387.8071232,score,0.695553377970733
2,1789041387.8071232,should_stop,0.0
2,1789041387.8071232,stale_epochs,2.0
3,1789041978.2305849,best_score,0.6998657721421355
3,1789041978.2305849,improved,1.0
3,1789041978.2305849,lr_multiplier,1.0
3,1789041978.2305849,recovery_applied,0.0
3,1789041978.2305849,reductions,0.0
3,1789041978.2305849,score,0.6998657721421355
3,1789041978.2305849,should_stop,0.0
3,1789041978.2305849,stale_epochs,0.0
4,1789042571.6231322,best_score,0.6998657721421355
4,1789042571.6231322,improved,0.0
4,1789042571.6231322,lr_multiplier,1.0
4,1789042571.6231322,recovery_applied,0.0
4,1789042571.6231322,reductions,0.0
4,1789042571.6231322,score,0.6978840390353628
4,1789042571.6231322,should_stop,0.0
4,1789042571.6231322,stale_epochs,1.0
5,1789043160.9556136,best_score,0.7013190583800604
5,1789043160.9556136,improved,1.0
5,1789043160.9556136,lr_multiplier,1.0
5,1789043160.9556136,recovery_applied,0.0
5,1789043160.9556136,reductions,0.0
5,1789043160.9556136,score,0.7013190583800604
5,1789043160.9556136,should_stop,0.0
5,1789043160.9556136,stale_epochs,0.0
6,1789043751.807542,best_score,0.7013190583800604
6,1789043751.807542,improved,0.0
6,1789043751.807542,lr_multiplier,1.0
6,1789043751.807542,recovery_applied,0.0
6,1789043751.807542,reductions,0.0
6,1789043751.807542,score,0.6989523451831101
6,1789043751.807542,should_stop,0.0
6,1789043751.807542,stale_epochs,1.0
7,1789044341.456731,best_score,0.7013190583800604
7,1789044341.456731,improved,0.0
7,1789044341.456731,lr_multiplier,1.0
7,1789044341.456731,recovery_applied,0.0
7,1789044341.456731,reductions,0.0
7,1789044341.456731,score,0.6985711653583029
7,1789044341.456731,should_stop,0.0
7,1789044341.456731,stale_epochs,2.0
8,1789044931.4753995,best_score,0.7013190583800604
8,1789044931.4753995,improved,0.0
8,1789044931.4753995,lr_multiplier,1.0
8,1789044931.4753995,recovery_applied,0.0
8,1789044931.4753995,reductions,0.0
8,1789044931.4753995,score,0.6970880000509089
8,1789044931.4753995,should_stop,0.0
8,1789044931.4753995,stale_epochs,3.0
