step,time_unix,metric,value
0,1789067648.8235507,images/detect,0.0
0,1789067648.8235507,images/pose,5964.0
0,1789067648.8235507,loss/detect_mean,0.0
0,1789067648.8235507,loss/joint_mean,1.2152792003472965
0,1789067648.8235507,loss/pose_mean,1.2152792003472965
0,1789067648.8235507,macros,373.0
0,1789067648.8235507,passes/detect,0.0
0,1789067648.8235507,passes/pose,1.0
0,1789067648.8235507,pose_wraps,0.0
1,1789067721.9068468,images/detect,0.0
1,1789067721.9068468,images/pose,5964.0
1,1789067721.9068468,loss/detect_mean,0.0
1,1789067721.9068468,loss/joint_mean,1.2290290092798306
1,1789067721.9068468,loss/pose_mean,1.2290290092798306
1,1789067721.9068468,macros,373.0
1,1789067721.9068468,passes/detect,0.0
1,1789067721.9068468,passes/pose,1.0
1,1789067721.9068468,pose_wraps,0.0
2,1789067794.5355964,images/detect,0.0
2,1789067794.5355964,images/pose,5964.0
2,1789067794.5355964,loss/detect_mean,0.0
2,1789067794.5355964,loss/joint_mean,1.2223819031322027
2,1789067794.5355964,loss/pose_mean,1.2223819031322027
2,1789067794.5355964,macros,373.0
2,1789067794.5355964,passes/detect,0.0
2,1789067794.5355964,passes/pose,1.0
2,1789067794.5355964,pose_wraps,0.0
3,1789067867.602301,images/detect,0.0
3,1789067867.602301,images/pose,5964.0
3,1789067867.602301,loss/detect_mean,0.0
3,1789067867.602301,loss/joint_mean,1.210130280572084
3,1789067867.602301,loss/pose_mean,1.210130280572084
3,1789067867.602301,macros,373.0
3,1789067867.602301,passes/detect,0.0
3,1789067867.602301,passes/pose,1.0
3,1789067867.602301,pose_wraps,0.0
4,1789067940.3426955,images/detect,0.0
4,1789067940.3426955,images/pose,5964.0
4,1789067940.3426955,loss/detect_mean,0.0
4,1789067940.3426955,loss/joint_mean,1.2128717023042286
4,1789067940.3426955,loss/pose_mean,1.2128717023042286
4,1789067940.3426955,macros,373.0
4,1789067940.3426955,passes/detect,0.0
4,1789067940.3426955,passes/pose,1.0
4,1789067940.3426955,pose_wraps,0.0
5,1789068013.734255,images/detect,0.0
5,1789068013.734255,images/pose,5964.0
5,1789068013.734255,loss/detect_mean,0.0
5,1789068013.734255,loss/joint_mean,1.2120129169832532
5,1789068013.734255,loss/pose_mean,1.2120129169832532
5,1789068013.734255,macros,373.0
5,1789068013.734255,passes/detect,0.0
5,1789068013.734255,passes/pose,1.0
5,1789068013.734255,pose_wraps,0.0
6,1789068087.0463493,images/detect,0.0
6,1789068087.0463493,images/pose,5964.0
6,1789068087.0463493,loss/detect_mean,0.0
6,1789068087.0463493,loss/joint_mean,1.2209354730998807
6,1789068087.0463493,loss/pose_mean,1.2209354730998807
6,1789068087.0463493,macros,373.0
6,1789068087.0463493,passes/detect,0.0
6,1789068087.0463493,passes/pose,1.0
6,1789068087.0463493,pose_wraps,0.0
7,1789068160.0252619,images/detect,0.0
7,1789068160.0252619,images/pose,5964.0
7,1789068160.0252619,loss/detect_mean,0.0
7,1789068160.0252619,loss/joint_mean,1.2182600821207867
7,1789068160.0252619,loss/pose_mean,1.2182600821207867
7,1789068160.0252619,macros,373.0
7,1789068160.0252619,passes/detect,0.0
7,1789068160.0252619,passes/pose,1.0
7,1789068160.0252619,pose_wraps,0.0
8,1789068233.7753534,images/detect,0.0
8,1789068233.7753534,images/pose,5964.0
8,1789068233.7753534,loss/detect_mean,0.0
8,1789068233.7753534,loss/joint_mean,1.2264159873857505
8,1789068233.7753534,loss/pose_mean,1.2264159873857505
8,1789068233.7753534,macros,373.0
8,1789068233.7753534,passes/detect,0.0
8,1789068233.7753534,passes/pose,1.0
8,1789068233.7753534,pose_wraps,0.0
