step,time_unix,metric,value
0,1789029326.0385895,images/detect,0.0
0,1789029326.0385895,images/pose,5964.0
0,1789029326.0385895,loss/detect_mean,0.0
0,1789029326.0385895,loss/joint_mean,2.7466187784129703
0,1789029326.0385895,loss/pose_mean,2.7466187784129703
0,1789029326.0385895,macros,373.0
0,1789029326.0385895,passes/detect,0.0
0,1789029326.0385895,passes/pose,1.0
0,1789029326.0385895,pose_wraps,0.0
1,1789029399.2482271,images/detect,0.0
1,1789029399.2482271,images/pose,5964.0
1,1789029399.2482271,loss/detect_mean,0.0
1,1789029399.2482271,loss/joint_mean,3.1414610564029113
1,1789029399.2482271,loss/pose_mean,3.1414610564029113
1,1789029399.2482271,macros,373.0
1,1789029399.2482271,passes/detect,0.0
1,1789029399.2482271,passes/pose,1.0
1,1789029399.2482271,pose_wraps,0.0
2,1789029471.8202214,images/detect,0.0
2,1789029471.8202214,images/pose,5964.0
2,1789029471.8202214,loss/detect_mean,0.0
2,1789029471.8202214,loss/joint_mean,3.098868439135177
2,1789029471.8202214,loss/pose_mean,3.098868439135177
2,1789029471.8202214,macros,373.0
2,1789029471.8202214,passes/detect,0.0
2,1789029471.8202214,passes/pose,1.0
2,1789029471.8202214,pose_wraps,0.0
3,1789029544.295237,images/detect,0.0
3,1789029544.295237,images/pose,5964.0
3,1789029544.295237,loss/detect_mean,0.0
3,1789029544.295237,loss/joint_mean,3.0663523414964886
3,1789029544.295237,loss/pose_mean,3.0663523414964886
3,1789029544.295237,macros,373.0
3,1789029544.295237,passes/detect,0.0
3,1789029544.295237,passes/pose,1.0
3,1789029544.295237,pose_wraps,0.0
4,1789029617.4362905,images/detect,0.0
4,1789029617.4362905,images/pose,5964.0
4,1789029617.4362905,loss/detect_mean,0.0
4,1789029617.4362905,loss/joint_mean,3.0436244170830444
4,1789029617.4362905,loss/pose_mean,3.0436244170830444
4,1789029617.4362905,macros,373.0
4,1789029617.4362905,passes/detect,0.0
4,1789029617.4362905,passes/pose,1.0
4,1789029617.4362905,pose_wraps,0.0
5,1789029690.9498346,images/detect,0.0
5,1789029690.9498346,images/pose,5964.0
5,1789029690.9498346,loss/detect_mean,0.0
5,1789029690.9498346,loss/joint_mean,2.9932288752555207
5,1789029690.9498346,loss/pose_mean,2.9932288752555207
5,1789029690.9498346,macros,373.0
5,1789029690.9498346,passes/detect,0.0
5,1789029690.9498346,passes/pose,1.0
5,1789029690.9498346,pose_wraps,0.0
6,1789029765.3501298,images/detect,0.0
6,1789029765.3501298,images/pose,5964.0
6,1789029765.3501298,loss/detect_mean,0.0
6,1789029765.3501298,loss/joint_mean,2.782087762590865
6,1789029765.3501298,loss/pose_mean,2.782087762590865
6,1789029765.3501298,macros,373.0
6,1789029765.3501298,passes/detect,0.0
6,1789029765.3501298,passes/pose,1.0
6,1789029765.3501298,pose_wraps,0.0
7,1789029839.111478,images/detect,0.0
7,1789029839.111478,images/pose,5964.0
7,1789029839.111478,loss/detect_mean,0.0
7,1789029839.111478,loss/joint_mean,2.7234038817330863
7,1789029839.111478,loss/pose_mean,2.7234038817330863
7,1789029839.111478,macros,373.0
7,1789029839.111478,passes/detect,0.0
7,1789029839.111478,passes/pose,1.0
7,1789029839.111478,pose_wraps,0.0
8,1789029912.976073,images/detect,0.0
8,1789029912.976073,images/pose,5964.0
8,1789029912.976073,loss/detect_mean,0.0
8,1789029912.976073,loss/joint_mean,2.6710435341541436
8,1789029912.976073,loss/pose_mean,2.6710435341541436
8,1789029912.976073,macros,373.0
8,1789029912.976073,passes/detect,0.0
8,1789029912.976073,passes/pose,1.0
8,1789029912.976073,pose_wraps,0.0
9,1789029986.288742,images/detect,0.0
9,1789029986.288742,images/pose,5964.0
9,1789029986.288742,loss/detect_mean,0.0
9,1789029986.288742,loss/joint_mean,2.518517837677923
9,1789029986.288742,loss/pose_mean,2.518517837677923
9,1789029986.288742,macros,373.0
9,1789029986.288742,passes/detect,0.0
9,1789029986.288742,passes/pose,1.0
9,1789029986.288742,pose_wraps,0.0
10,1789030060.4280922,images/detect,0.0
10,1789030060.4280922,images/pose,5964.0
10,1789030060.4280922,loss/detect_mean,0.0
10,1789030060.4280922,loss/joint_mean,2.452918544541582
10,1789030060.4280922,loss/pose_mean,2.452918544541582
10,1789030060.4280922,macros,373.0
10,1789030060.4280922,passes/detect,0.0
10,1789030060.4280922,passes/pose,1.0
10,1789030060.4280922,pose_wraps,0.0
