step,time_unix,metric,value
0,1789029364.0418906,delta/bbat/ball/box/map50_95,-0.0369315250897001
0,1789029364.0418906,delta/bbat/ball/pose/map50_95,-0.030083391263146075
0,1789029364.0418906,delta/bbat/bat/box/map50_95,-0.08978483081145572
0,1789029364.0418906,delta/bbat/bat/pose/map50_95,-0.06206327123195621
0,1789029364.0418906,delta/bbat/box/map50_95,-0.06335817795057785
0,1789029364.0418906,delta/bbat/pose/map50_95,-0.046073331247550975
0,1789029364.0418906,delta/coco/box/map50_95,0.0
0,1789029364.0418906,delta/coco/person/box/map50_95,0.0
0,1789029364.0418906,passed,0.0
0,1789029364.0418906,score/best_detect,0.5666836927156687
0,1789029364.0418906,score/best_joint,0.6866294507932185
0,1789029364.0418906,score/best_pose,0.7168463259005586
1,1789029437.7553034,delta/bbat/ball/box/map50_95,-0.04476860374106234
1,1789029437.7553034,delta/bbat/ball/pose/map50_95,-0.046200192903791626
1,1789029437.7553034,delta/bbat/bat/box/map50_95,-0.09212920712579098
1,1789029437.7553034,delta/bbat/bat/pose/map50_95,-0.07524428366809666
1,1789029437.7553034,delta/bbat/box/map50_95,-0.06844890543342663
1,1789029437.7553034,delta/bbat/pose/map50_95,-0.06072223828594403
1,1789029437.7553034,delta/coco/box/map50_95,0.0
1,1789029437.7553034,delta/coco/person/box/map50_95,0.0
1,1789029437.7553034,passed,0.0
1,1789029437.7553034,score/best_detect,0.5666836927156687
1,1789029437.7553034,score/best_joint,0.6797517424812916
1,1789029437.7553034,score/best_pose,0.7069765086399377
2,1789029510.1453652,delta/bbat/ball/box/map50_95,-0.04160763016129043
2,1789029510.1453652,delta/bbat/ball/pose/map50_95,-0.042919753161696605
2,1789029510.1453652,delta/bbat/bat/box/map50_95,-0.09930045692524891
2,1789029510.1453652,delta/bbat/bat/pose/map50_95,-0.07640955436241548
2,1789029510.1453652,delta/bbat/box/map50_95,-0.0704540435432699
2,1789029510.1453652,delta/bbat/pose/map50_95,-0.05966465376205621
2,1789029510.1453652,delta/coco/box/map50_95,0.0
2,1789029510.1453652,delta/coco/person/box/map50_95,0.0
2,1789029510.1453652,passed,0.0
2,1789029510.1453652,score/best_detect,0.5666836927156687
2,1789029510.1453652,score/best_joint,0.679773748668878
2,1789029510.1453652,score/best_pose,0.7065027318469599
3,1789029582.6932845,delta/bbat/ball/box/map50_95,-0.05068793506142366
3,1789029582.6932845,delta/bbat/ball/pose/map50_95,-0.046543450329778024
3,1789029582.6932845,delta/bbat/bat/box/map50_95,-0.11606874953200985
3,1789029582.6932845,delta/bbat/bat/pose/map50_95,-0.06917447702524282
3,1789029582.6932845,delta/bbat/box/map50_95,-0.08337834229671681
3,1789029582.6932845,delta/bbat/pose/map50_95,-0.05785896367751053
3,1789029582.6932845,delta/coco/box/map50_95,0.0
3,1789029582.6932845,delta/coco/person/box/map50_95,0.0
3,1789029582.6932845,passed,0.0
3,1789029582.6932845,score/best_detect,0.5666836927156687
3,1789029582.6932845,score/best_joint,0.6779111649520069
3,1789029582.6932845,score/best_pose,0.7009434275125093
4,1789029656.5350604,delta/bbat/ball/box/map50_95,-0.04592739905740034
4,1789029656.5350604,delta/bbat/ball/pose/map50_95,-0.04732080080331047
4,1789029656.5350604,delta/bbat/bat/box/map50_95,-0.10053480431641282
4,1789029656.5350604,delta/bbat/bat/pose/map50_95,-0.07817475536399665
4,1789029656.5350604,delta/bbat/box/map50_95,-0.07323110168690672
4,1789029656.5350604,delta/bbat/pose/map50_95,-0.06274777808365362
4,1789029656.5350604,delta/coco/box/map50_95,0.0
4,1789029656.5350604,delta/coco/person/box/map50_95,0.0
4,1789029656.5350604,passed,0.0
4,1789029656.5350604,score/best_detect,0.5666836927156687
4,1789029656.5350604,score/best_joint,0.6779850873115116
4,1789029656.5350604,score/best_pose,0.7035726406143428
5,1789029730.4311001,delta/bbat/ball/box/map50_95,-0.0769210478667236
5,1789029730.4311001,delta/bbat/ball/pose/map50_95,-0.04561342054160389
5,1789029730.4311001,delta/bbat/bat/box/map50_95,-0.11470611925876606
5,1789029730.4311001,delta/bbat/bat/pose/map50_95,-0.0837695172779167
5,1789029730.4311001,delta/bbat/box/map50_95,-0.09581358356274483
5,1789029730.4311001,delta/bbat/pose/map50_95,-0.0646914689097603
5,1789029730.4311001,delta/coco/box/map50_95,0.0
5,1789029730.4311001,delta/coco/person/box/map50_95,0.0
5,1789029730.4311001,passed,0.0
5,1789029730.4311001,score/best_detect,0.5666836927156687
5,1789029730.4311001,score/best_joint,0.6726911146059014
5,1789029730.4311001,score/best_pose,0.6913095542633705
6,1789029804.3932226,delta/bbat/ball/box/map50_95,-0.0638357827887247
6,1789029804.3932226,delta/bbat/ball/pose/map50_95,-0.030707002240749626
6,1789029804.3932226,delta/bbat/bat/box/map50_95,-0.09993817056397347
6,1789029804.3932226,delta/bbat/bat/pose/map50_95,-0.06711378732666817
6,1789029804.3932226,delta/bbat/box/map50_95,-0.08188697667634925
6,1789029804.3932226,delta/bbat/pose/map50_95,-0.048910394783708955
6,1789029804.3932226,delta/coco/box/map50_95,0.0
6,1789029804.3932226,delta/coco/person/box/map50_95,0.0
6,1789029804.3932226,passed,0.0
6,1789029804.3932226,score/best_detect,0.5666836927156687
6,1789029804.3932226,score/best_joint,0.6817888656336011
6,1789029804.3932226,score/best_pose,0.7061633947695939
7,1789029878.3981948,delta/bbat/ball/box/map50_95,-0.0387584529184305
7,1789029878.3981948,delta/bbat/ball/pose/map50_95,-0.039981948153945845
7,1789029878.3981948,delta/bbat/bat/box/map50_95,-0.10206865381359109
7,1789029878.3981948,delta/bbat/bat/pose/map50_95,-0.07174793071876284
7,1789029878.3981948,delta/bbat/box/map50_95,-0.07041355336601096
7,1789029878.3981948,delta/bbat/pose/map50_95,-0.05586493943635462
7,1789029878.3981948,delta/coco/box/map50_95,0.0
7,1789029878.3981948,delta/coco/person/box/map50_95,0.0
7,1789029878.3981948,passed,0.0
7,1789029878.3981948,score/best_detect,0.5666836927156687
7,1789029878.3981948,score/best_joint,0.6813017324346105
7,1789029878.3981948,score/best_pose,0.7084228340984402
