step,time_unix,metric,value
0,1789081271.8676388,delta/bbat/ball/box/map50_95,0.0023036657191892185
0,1789081271.8676388,delta/bbat/ball/pose/map50_95,-0.008778589458987796
0,1789081271.8676388,delta/bbat/bat/box/map50_95,0.0013126951959097077
0,1789081271.8676388,delta/bbat/bat/pose/map50_95,0.0015129243495648481
0,1789081271.8676388,delta/bbat/box/map50_95,0.0018081804575496019
0,1789081271.8676388,delta/bbat/pose/map50_95,-0.0036328325547112517
0,1789081271.8676388,delta/coco/box/map50_95,-0.00039999342081709077
0,1789081271.8676388,delta/coco/person/box/map50_95,-0.0006948844391888587
0,1789081271.8676388,passed,1.0
0,1789081271.8676388,score/best_detect,0.5650650312856806
0,1789081271.8676388,score/best_joint,0.7013877503363471
0,1789081271.8676388,score/best_pose,0.7468474463000648
1,1789083646.5528533,delta/bbat/ball/box/map50_95,0.012991563866342593
1,1789083646.5528533,delta/bbat/ball/pose/map50_95,0.00523135818737519
1,1789083646.5528533,delta/bbat/bat/box/map50_95,0.005477649924354955
1,1789083646.5528533,delta/bbat/bat/pose/map50_95,0.003933147625005851
1,1789083646.5528533,delta/bbat/box/map50_95,0.00923460689534894
1,1789083646.5528533,delta/bbat/pose/map50_95,0.004582252906190631
1,1789083646.5528533,delta/coco/box/map50_95,-0.00035676686591812334
1,1789083646.5528533,delta/coco/person/box/map50_95,-0.0010958667267473299
1,1789083646.5528533,passed,1.0
1,1789083646.5528533,score/best_detect,0.5648861534193508
1,1789083646.5528533,score/best_joint,0.7060875186617359
1,1789083646.5528533,score/best_pose,0.7546682022494154
2,1789086023.954926,delta/bbat/ball/box/map50_95,-0.012357253882146924
2,1789086023.954926,delta/bbat/ball/pose/map50_95,-0.009159253044227378
2,1789086023.954926,delta/bbat/bat/box/map50_95,0.001202273763137307
2,1789086023.954926,delta/bbat/bat/pose/map50_95,0.0031441614568097354
2,1789086023.954926,delta/bbat/box/map50_95,-0.005577490059504697
2,1789086023.954926,delta/bbat/pose/map50_95,-0.0030075457937087657
2,1789086023.954926,delta/coco/box/map50_95,-0.0010792209766316008
2,1789086023.954926,delta/coco/person/box/map50_95,-0.0004769591913896809
2,1789086023.954926,passed,1.0
2,1789086023.954926,score/best_detect,0.5648343801316729
2,1789086023.954926,score/best_joint,0.7000684704757343
2,1789086023.954926,score/best_pose,0.7434672544220389
3,1789088401.6580389,delta/bbat/ball/box/map50_95,-0.007051234861167266
3,1789088401.6580389,delta/bbat/ball/pose/map50_95,0.003050641904876805
3,1789088401.6580389,delta/bbat/bat/box/map50_95,0.0005606843513756843
3,1789088401.6580389,delta/bbat/bat/pose/map50_95,0.0013100149565797858
3,1789088401.6580389,delta/bbat/box/map50_95,-0.0032452752548955965
3,1789088401.6580389,delta/bbat/pose/map50_95,0.002180328430728351
3,1789088401.6580389,delta/coco/box/map50_95,-4.9853563709012505e-05
