step,time_unix,metric,value
1,1788882334.6423635,images/detect,118287.0
1,1788882334.6423635,images/pose,7404.0
1,1788882334.6423635,loss/detect_mean,1.7887716566085154
1,1788882334.6423635,loss/joint_mean,1.6184109344733035
1,1788882334.6423635,loss/pose_mean,0.9379204527743117
1,1788882334.6423635,macros,463.0
1,1788882334.6423635,passes/detect,1.0
1,1788882334.6423635,passes/pose,1.2414486921529175
1,1788882334.6423635,pose_wraps,1.0
2,1788882995.012372,images/detect,118287.0
2,1788882995.012372,images/pose,7404.0
2,1788882995.012372,loss/detect_mean,2.012441488509459
2,1788882995.012372,loss/joint_mean,1.8438130341406958
2,1788882995.012372,loss/pose_mean,1.1690218634118523
2,1788882995.012372,macros,463.0
2,1788882995.012372,passes/detect,1.0
2,1788882995.012372,passes/pose,1.2414486921529175
2,1788882995.012372,pose_wraps,1.0
3,1788883662.427128,images/detect,118287.0
3,1788883662.427128,images/pose,7404.0
3,1788883662.427128,loss/detect_mean,2.2255157084612045
3,1788883662.427128,loss/joint_mean,2.052743904307388
3,1788883662.427128,loss/pose_mean,1.3607994951086388
3,1788883662.427128,macros,463.0
3,1788883662.427128,passes/detect,1.0
3,1788883662.427128,passes/pose,1.2414486921529175
3,1788883662.427128,pose_wraps,1.0
4,1788884324.763214,images/detect,118287.0
4,1788884324.763214,images/pose,7404.0
4,1788884324.763214,loss/detect_mean,2.2243516299855735
4,1788884324.763214,loss/joint_mean,2.0503706671403754
4,1788884324.763214,loss/pose_mean,1.3540292190642438
4,1788884324.763214,macros,463.0
4,1788884324.763214,passes/detect,1.0
4,1788884324.763214,passes/pose,1.2414486921529175
4,1788884324.763214,pose_wraps,1.0
