step,time_unix,metric,value
1,1788876394.9141126,images/detect,118287.0
1,1788876394.9141126,images/pose,7404.0
1,1788876394.9141126,loss/detect_mean,1.7873419449216443
1,1788876394.9141126,loss/joint_mean,1.6163313061801365
1,1788876394.9141126,loss/pose_mean,0.9331697206893913
1,1788876394.9141126,macros,463.0
1,1788876394.9141126,passes/detect,1.0
1,1788876394.9141126,passes/pose,1.2414486921529175
1,1788876394.9141126,pose_wraps,1.0
2,1788877042.84379,images/detect,118287.0
2,1788877042.84379,images/pose,7404.0
2,1788877042.84379,loss/detect_mean,1.7885155288100447
2,1788877042.84379,loss/joint_mean,1.6189945795520593
2,1788877042.84379,loss/pose_mean,0.9422271616197418
2,1788877042.84379,macros,463.0
2,1788877042.84379,passes/detect,1.0
2,1788877042.84379,passes/pose,1.2414486921529175
2,1788877042.84379,pose_wraps,1.0
