step,time_unix,metric,value
0,1789009325.4368932,images/detect,0.0
0,1789009325.4368932,images/pose,5964.0
0,1789009325.4368932,loss/detect_mean,0.0
0,1789009325.4368932,loss/joint_mean,16.155980178607862
0,1789009325.4368932,loss/pose_mean,16.155980178607862
0,1789009325.4368932,macros,373.0
0,1789009325.4368932,passes/detect,0.0
0,1789009325.4368932,passes/pose,1.0
0,1789009325.4368932,pose_wraps,0.0
1,1789009397.8804436,images/detect,0.0
1,1789009397.8804436,images/pose,5964.0
1,1789009397.8804436,loss/detect_mean,0.0
1,1789009397.8804436,loss/joint_mean,9.6085703828685
1,1789009397.8804436,loss/pose_mean,9.6085703828685
1,1789009397.8804436,macros,373.0
1,1789009397.8804436,passes/detect,0.0
1,1789009397.8804436,passes/pose,1.0
1,1789009397.8804436,pose_wraps,0.0
2,1789009470.6165907,images/detect,0.0
2,1789009470.6165907,images/pose,5964.0
2,1789009470.6165907,loss/detect_mean,0.0
2,1789009470.6165907,loss/joint_mean,8.351076147845733
2,1789009470.6165907,loss/pose_mean,8.351076147845733
2,1789009470.6165907,macros,373.0
2,1789009470.6165907,passes/detect,0.0
2,1789009470.6165907,passes/pose,1.0
2,1789009470.6165907,pose_wraps,0.0
3,1789009544.5103195,images/detect,0.0
3,1789009544.5103195,images/pose,5964.0
3,1789009544.5103195,loss/detect_mean,0.0
3,1789009544.5103195,loss/joint_mean,7.58669848733105
3,1789009544.5103195,loss/pose_mean,7.58669848733105
3,1789009544.5103195,macros,373.0
3,1789009544.5103195,passes/detect,0.0
3,1789009544.5103195,passes/pose,1.0
3,1789009544.5103195,pose_wraps,0.0
4,1789009618.1348684,images/detect,0.0
4,1789009618.1348684,images/pose,5964.0
4,1789009618.1348684,loss/detect_mean,0.0
4,1789009618.1348684,loss/joint_mean,6.774944333563228
4,1789009618.1348684,loss/pose_mean,6.774944333563228
4,1789009618.1348684,macros,373.0
4,1789009618.1348684,passes/detect,0.0
4,1789009618.1348684,passes/pose,1.0
4,1789009618.1348684,pose_wraps,0.0
5,1789009690.9503748,images/detect,0.0
5,1789009690.9503748,images/pose,5964.0
5,1789009690.9503748,loss/detect_mean,0.0
5,1789009690.9503748,loss/joint_mean,6.121965503628665
5,1789009690.9503748,loss/pose_mean,6.121965503628665
5,1789009690.9503748,macros,373.0
5,1789009690.9503748,passes/detect,0.0
5,1789009690.9503748,passes/pose,1.0
5,1789009690.9503748,pose_wraps,0.0
6,1789009764.9456506,images/detect,0.0
6,1789009764.9456506,images/pose,5964.0
6,1789009764.9456506,loss/detect_mean,0.0
6,1789009764.9456506,loss/joint_mean,5.581915501697522
6,1789009764.9456506,loss/pose_mean,5.581915501697522
6,1789009764.9456506,macros,373.0
6,1789009764.9456506,passes/detect,0.0
6,1789009764.9456506,passes/pose,1.0
6,1789009764.9456506,pose_wraps,0.0
7,1789009838.8594303,images/detect,0.0
7,1789009838.8594303,images/pose,5964.0
7,1789009838.8594303,loss/detect_mean,0.0
7,1789009838.8594303,loss/joint_mean,5.077824596428056
7,1789009838.8594303,loss/pose_mean,5.077824596428056
7,1789009838.8594303,macros,373.0
7,1789009838.8594303,passes/detect,0.0
7,1789009838.8594303,passes/pose,1.0
7,1789009838.8594303,pose_wraps,0.0
