step,time_unix,metric,value
0,1789040171.7209084,images/detect,118287.0
0,1789040171.7209084,images/pose,7404.0
0,1789040171.7209084,loss/detect_mean,1.6705008089006745
0,1789040171.7209084,loss/joint_mean,1.6630336601667448
0,1789040171.7209084,loss/pose_mean,1.552578218301395
0,1789040171.7209084,macros,463.0
0,1789040171.7209084,passes/detect,1.0
0,1789040171.7209084,passes/pose,1.2414486921529175
0,1789040171.7209084,pose_wraps,1.0
1,1789040760.1920016,images/detect,118287.0
1,1789040760.1920016,images/pose,7404.0
1,1789040760.1920016,loss/detect_mean,1.6834512707168967
1,1789040760.1920016,loss/joint_mean,1.678594272151671
1,1789040760.1920016,loss/pose_mean,1.615590079805775
1,1789040760.1920016,macros,463.0
1,1789040760.1920016,passes/detect,1.0
1,1789040760.1920016,passes/pose,1.2414486921529175
1,1789040760.1920016,pose_wraps,1.0
2,1789041348.4666293,images/detect,118287.0
2,1789041348.4666293,images/pose,7404.0
2,1789041348.4666293,loss/detect_mean,1.6889329839797025
2,1789041348.4666293,loss/joint_mean,1.6807630444969748
2,1789041348.4666293,loss/pose_mean,1.5755808309630277
2,1789041348.4666293,macros,463.0
2,1789041348.4666293,passes/detect,1.0
2,1789041348.4666293,passes/pose,1.2414486921529175
2,1789041348.4666293,pose_wraps,1.0
3,1789041938.1395836,images/detect,118287.0
3,1789041938.1395836,images/pose,7404.0
3,1789041938.1395836,loss/detect_mean,1.6970317370733126
3,1789041938.1395836,loss/joint_mean,1.6861091253350378
3,1789041938.1395836,loss/pose_mean,1.53425486354426
3,1789041938.1395836,macros,463.0
3,1789041938.1395836,passes/detect,1.0
3,1789041938.1395836,passes/pose,1.2414486921529175
3,1789041938.1395836,pose_wraps,1.0
4,1789042531.9722493,images/detect,118287.0
4,1789042531.9722493,images/pose,7404.0
4,1789042531.9722493,loss/detect_mean,1.7023549302618168
4,1789042531.9722493,loss/joint_mean,1.6889764239704113
4,1789042531.9722493,loss/pose_mean,1.502995024752707
4,1789042531.9722493,macros,463.0
4,1789042531.9722493,passes/detect,1.0
4,1789042531.9722493,passes/pose,1.2414486921529175
4,1789042531.9722493,pose_wraps,1.0
5,1789043121.463163,images/detect,118287.0
5,1789043121.463163,images/pose,7404.0
5,1789043121.463163,loss/detect_mean,1.7106292537433245
5,1789043121.463163,loss/joint_mean,1.6967905583876566
5,1789043121.463163,loss/pose_mean,1.4938413581611143
5,1789043121.463163,macros,463.0
5,1789043121.463163,passes/detect,1.0
5,1789043121.463163,passes/pose,1.2414486921529175
5,1789043121.463163,pose_wraps,1.0
6,1789043712.0212293,images/detect,118287.0
6,1789043712.0212293,images/pose,7404.0
6,1789043712.0212293,loss/detect_mean,1.7227176777778557
6,1789043712.0212293,loss/joint_mean,1.710956786651448
6,1789043712.0212293,loss/pose_mean,1.5352563939179555
6,1789043712.0212293,macros,463.0
6,1789043712.0212293,passes/detect,1.0
6,1789043712.0212293,passes/pose,1.2414486921529175
6,1789043712.0212293,pose_wraps,1.0
7,1789044301.9383013,images/detect,118287.0
