step,time_unix,metric,value
0,1789040210.3354568,delta/bbat/ball/box/map50_95,-0.02766481949338162
0,1789040210.3354568,delta/bbat/ball/pose/map50_95,-0.025134899484864137
0,1789040210.3354568,delta/bbat/bat/box/map50_95,-0.0480580459061295
0,1789040210.3354568,delta/bbat/bat/pose/map50_95,-0.038248551007043274
0,1789040210.3354568,delta/bbat/box/map50_95,-0.037861432699755615
0,1789040210.3354568,delta/bbat/pose/map50_95,-0.03169172524595365
0,1789040210.3354568,delta/coco/box/map50_95,-0.0029801224410603844
0,1789040210.3354568,delta/coco/person/box/map50_95,-0.0022457258623905796
0,1789040210.3354568,passed,0.0
0,1789040210.3354568,score/best_detect,0.5653251169706447
0,1789040210.3354568,score/best_joint,0.6969380119460122
0,1789040210.3354568,score/best_pose,0.7367855015267684
1,1789040799.2170234,delta/bbat/ball/box/map50_95,-0.023762807109711792
1,1789040799.2170234,delta/bbat/ball/pose/map50_95,-0.03037819961335786
1,1789040799.2170234,delta/bbat/bat/box/map50_95,-0.042808185271567156
1,1789040799.2170234,delta/bbat/bat/pose/map50_95,-0.036691192345478574
1,1789040799.2170234,delta/bbat/box/map50_95,-0.033285496190639696
1,1789040799.2170234,delta/bbat/pose/map50_95,-0.03353469597941838
1,1789040799.2170234,delta/coco/box/map50_95,-0.0034781147716331784
1,1789040799.2170234,delta/coco/person/box/map50_95,-0.0025011384767624767
1,1789040799.2170234,passed,0.0
1,1789040799.2170234,score/best_detect,0.5649484144981723
1,1789040799.2170234,score/best_joint,0.6969653299654606
1,1789040799.2170234,score/best_pose,0.738151984414594
2,1789041387.8049493,delta/bbat/ball/box/map50_95,-0.02248928525257282
2,1789041387.8049493,delta/bbat/ball/pose/map50_95,-0.0278849997866768
2,1789041387.8049493,delta/bbat/bat/box/map50_95,-0.04940575445827555
2,1789041387.8049493,delta/bbat/bat/pose/map50_95,-0.04244287307579331
2,1789041387.8049493,delta/bbat/box/map50_95,-0.03594751985542444
2,1789041387.8049493,delta/bbat/pose/map50_95,-0.035163936431235165
2,1789041387.8049493,delta/coco/box/map50_95,-0.004304456727932782
2,1789041387.8049493,delta/coco/person/box/map50_95,-0.0028140519256827368
2,1789041387.8049493,passed,0.0
2,1789041387.8049493,score/best_detect,0.5643787867955624
2,1789041387.8049493,score/best_joint,0.695553377970733
2,1789041387.8049493,score/best_pose,0.7360063523562932
3,1789041978.228485,delta/bbat/ball/box/map50_95,-0.019020029340618694
3,1789041978.228485,delta/bbat/ball/pose/map50_95,-0.017242709082493257
3,1789041978.228485,delta/bbat/bat/box/map50_95,-0.04216053240749451
3,1789041978.228485,delta/bbat/bat/pose/map50_95,-0.03841372120184372
3,1789041978.228485,delta/bbat/box/map50_95,-0.030590280874056575
3,1789041978.228485,delta/bbat/pose/map50_95,-0.02782821514216849
3,1789041978.228485,delta/coco/box/map50_95,-0.0033836149238675173
3,1789041978.228485,delta/coco/person/box/map50_95,-0.0022016044322366035
3,1789041978.228485,passed,0.0
3,1789041978.228485,score/best_detect,0.5651454314443181
3,1789041978.228485,score/best_joint,0.6998657721421355
3,1789041978.228485,score/best_pose,0.7423528324915105
4,1789042571.6210527,delta/bbat/ball/box/map50_95,-0.024848191262515917
4,1789042571.6210527,delta/bbat/ball/pose/map50_95,-0.020025131923125605
4,1789042571.6210527,delta/bbat/bat/box/map50_95,-0.051514135554676876
4,1789042571.6210527,delta/bbat/bat/pose/map50_95,-0.03688710397673911
4,1789042571.6210527,delta/bbat/box/map50_95,-0.03818116340859645
4,1789042571.6210527,delta/bbat/pose/map50_95,-0.028456117949932414
4,1789042571.6210527,delta/coco/box/map50_95,-0.004320764176064307
4,1789042571.6210527,delta/coco/person/box/map50_95,-0.0023264325638356897
4,1789042571.6210527,passed,0.0
4,1789042571.6210527,score/best_detect,0.5646144427524202
4,1789042571.6210527,score/best_joint,0.6978840390353628
