step,time_unix,metric,value
0,1789054448.9500728,best_score,0.7000448327965212
0,1789054448.9500728,improved,1.0
0,1789054448.9500728,patience,5.0
0,1789054448.9500728,score,0.7000448327965212
0,1789054448.9500728,should_stop,0.0
0,1789054448.9500728,stale_epochs,0.0
1,1789055214.388698,best_score,0.7000448327965212
1,1789055214.388698,improved,0.0
1,1789055214.388698,patience,5.0
1,1789055214.388698,score,0.6987651023065852
1,1789055214.388698,should_stop,0.0
1,1789055214.388698,stale_epochs,1.0
2,1789055979.9317257,best_score,0.7000448327965212
2,1789055979.9317257,improved,0.0
2,1789055979.9317257,patience,5.0
2,1789055979.9317257,score,0.6995355109817163
2,1789055979.9317257,should_stop,0.0
2,1789055979.9317257,stale_epochs,2.0
3,1789056747.4074292,best_score,0.7000448327965212
3,1789056747.4074292,improved,0.0
3,1789056747.4074292,patience,5.0
3,1789056747.4074292,score,0.6998840252303818
3,1789056747.4074292,should_stop,0.0
3,1789056747.4074292,stale_epochs,3.0
4,1789057514.310274,best_score,0.7000448327965212
4,1789057514.310274,improved,0.0
4,1789057514.310274,patience,5.0
4,1789057514.310274,score,0.698530465737309
4,1789057514.310274,should_stop,0.0
4,1789057514.310274,stale_epochs,4.0
5,1789058281.3677852,best_score,0.7010298838890238
5,1789058281.3677852,improved,1.0
5,1789058281.3677852,patience,5.0
5,1789058281.3677852,score,0.7010298838890238
5,1789058281.3677852,should_stop,0.0
5,1789058281.3677852,stale_epochs,0.0
6,1789059049.5429475,best_score,0.7010298838890238
6,1789059049.5429475,improved,0.0
6,1789059049.5429475,patience,5.0
6,1789059049.5429475,score,0.6992166097250327
6,1789059049.5429475,should_stop,0.0
6,1789059049.5429475,stale_epochs,1.0
7,1789059818.1096804,best_score,0.7010298838890238
7,1789059818.1096804,improved,0.0
7,1789059818.1096804,patience,5.0
7,1789059818.1096804,score,0.7006799732839337
7,1789059818.1096804,should_stop,0.0
7,1789059818.1096804,stale_epochs,2.0
8,1789060589.0484755,best_score,0.7010754898704705
8,1789060589.0484755,improved,1.0
8,1789060589.0484755,patience,5.0
8,1789060589.0484755,score,0.7010754898704705
8,1789060589.0484755,should_stop,0.0
8,1789060589.0484755,stale_epochs,0.0
9,1789061356.67794,best_score,0.7010754898704705
9,1789061356.67794,improved,0.0
9,1789061356.67794,patience,5.0
9,1789061356.67794,score,0.6996696221385132
9,1789061356.67794,should_stop,0.0
9,1789061356.67794,stale_epochs,1.0
10,1789062124.945448,best_score,0.7010754898704705
10,1789062124.945448,improved,0.0
10,1789062124.945448,patience,5.0
10,1789062124.945448,score,0.6997554914872186
10,1789062124.945448,should_stop,0.0
10,1789062124.945448,stale_epochs,2.0
11,1789062892.2152443,best_score,0.7014515456895807
11,1789062892.2152443,improved,1.0
11,1789062892.2152443,patience,5.0
11,1789062892.2152443,score,0.7014515456895807
11,1789062892.2152443,should_stop,0.0
11,1789062892.2152443,stale_epochs,0.0
12,1789063659.4737196,best_score,0.7014515456895807
12,1789063659.4737196,improved,0.0
12,1789063659.4737196,patience,5.0
12,1789063659.4737196,score,0.701048243919757
12,1789063659.4737196,should_stop,0.0
12,1789063659.4737196,stale_epochs,1.0
13,1789064426.7285028,best_score,0.7014515456895807
13,1789064426.7285028,improved,0.0
13,1789064426.7285028,patience,5.0
13,1789064426.7285028,score,0.6996936183543655
13,1789064426.7285028,should_stop,0.0
13,1789064426.7285028,stale_epochs,2.0
14,1789065194.4703894,best_score,0.7014515456895807
14,1789065194.4703894,improved,0.0
14,1789065194.4703894,patience,5.0
14,1789065194.4703894,score,0.6998401443594882
14,1789065194.4703894,should_stop,0.0
14,1789065194.4703894,stale_epochs,3.0
15,1789065962.5496807,best_score,0.7014515456895807
15,1789065962.5496807,improved,0.0
15,1789065962.5496807,patience,5.0
15,1789065962.5496807,score,0.7005809585418517
15,1789065962.5496807,should_stop,0.0
15,1789065962.5496807,stale_epochs,4.0
16,1789066731.3029745,best_score,0.7014515456895807
16,1789066731.3029745,improved,0.0
16,1789066731.3029745,patience,5.0
16,1789066731.3029745,score,0.7001754740687234
16,1789066731.3029745,should_stop,1.0
16,1789066731.3029745,stale_epochs,5.0
