step,time_unix,metric,value
0,1789025092.7455158,delta/bbat/ball/box/map50_95,-0.09882350938342765
0,1789025092.7455158,delta/bbat/ball/pose/map50_95,-0.09484912408561408
0,1789025092.7455158,delta/bbat/bat/box/map50_95,-0.12858463012833843
0,1789025092.7455158,delta/bbat/bat/pose/map50_95,-0.062250144042004796
0,1789025092.7455158,delta/bbat/box/map50_95,-0.1137040697558831
0,1789025092.7455158,delta/bbat/pose/map50_95,-0.07854963406380966
0,1789025092.7455158,delta/coco/box/map50_95,-0.2873982466981266
0,1789025092.7455158,delta/coco/person/box/map50_95,-0.3044462281624742
0,1789025092.7455158,passed,0.0
0,1789025092.7455158,score/best_detect,0.2720158036920698
0,1789025092.7455158,score/best_joint,0.5457025956962145
0,1789025092.7455158,score/best_pose,0.6754352285897767
