step,time_unix,metric,value
0,1789025282.3779302,images/detect,0.0
0,1789025282.3779302,images/pose,5964.0
0,1789025282.3779302,loss/detect_mean,0.0
0,1789025282.3779302,loss/joint_mean,2.6142995554196764
0,1789025282.3779302,loss/pose_mean,2.6142995554196764
0,1789025282.3779302,macros,373.0
0,1789025282.3779302,passes/detect,0.0
0,1789025282.3779302,passes/pose,1.0
0,1789025282.3779302,pose_wraps,0.0
1,1789025369.5856135,images/detect,0.0
1,1789025369.5856135,images/pose,5964.0
1,1789025369.5856135,loss/detect_mean,0.0
1,1789025369.5856135,loss/joint_mean,2.495917884077025
1,1789025369.5856135,loss/pose_mean,2.495917884077025
1,1789025369.5856135,macros,373.0
1,1789025369.5856135,passes/detect,0.0
1,1789025369.5856135,passes/pose,1.0
1,1789025369.5856135,pose_wraps,0.0
2,1789025456.7139308,images/detect,0.0
2,1789025456.7139308,images/pose,5964.0
2,1789025456.7139308,loss/detect_mean,0.0
2,1789025456.7139308,loss/joint_mean,2.2985777186515906
2,1789025456.7139308,loss/pose_mean,2.2985777186515906
2,1789025456.7139308,macros,373.0
2,1789025456.7139308,passes/detect,0.0
2,1789025456.7139308,passes/pose,1.0
2,1789025456.7139308,pose_wraps,0.0
3,1789025544.2220166,images/detect,0.0
3,1789025544.2220166,images/pose,5964.0
3,1789025544.2220166,loss/detect_mean,0.0
3,1789025544.2220166,loss/joint_mean,2.12668589822883
3,1789025544.2220166,loss/pose_mean,2.12668589822883
3,1789025544.2220166,macros,373.0
3,1789025544.2220166,passes/detect,0.0
3,1789025544.2220166,passes/pose,1.0
3,1789025544.2220166,pose_wraps,0.0
4,1789025632.2832484,images/detect,0.0
4,1789025632.2832484,images/pose,5964.0
4,1789025632.2832484,loss/detect_mean,0.0
4,1789025632.2832484,loss/joint_mean,2.0042859215931474
4,1789025632.2832484,loss/pose_mean,2.0042859215931474
4,1789025632.2832484,macros,373.0
4,1789025632.2832484,passes/detect,0.0
4,1789025632.2832484,passes/pose,1.0
4,1789025632.2832484,pose_wraps,0.0
5,1789025719.9556193,images/detect,0.0
5,1789025719.9556193,images/pose,5964.0
5,1789025719.9556193,loss/detect_mean,0.0
5,1789025719.9556193,loss/joint_mean,1.9322561018423776
5,1789025719.9556193,loss/pose_mean,1.9322561018423776
5,1789025719.9556193,macros,373.0
5,1789025719.9556193,passes/detect,0.0
5,1789025719.9556193,passes/pose,1.0
5,1789025719.9556193,pose_wraps,0.0
6,1789025807.3258142,images/detect,0.0
6,1789025807.3258142,images/pose,5964.0
6,1789025807.3258142,loss/detect_mean,0.0
6,1789025807.3258142,loss/joint_mean,1.8136599059076137
6,1789025807.3258142,loss/pose_mean,1.8136599059076137
6,1789025807.3258142,macros,373.0
6,1789025807.3258142,passes/detect,0.0
6,1789025807.3258142,passes/pose,1.0
6,1789025807.3258142,pose_wraps,0.0
7,1789025893.8965335,images/detect,0.0
7,1789025893.8965335,images/pose,5964.0
7,1789025893.8965335,loss/detect_mean,0.0
7,1789025893.8965335,loss/joint_mean,1.7478468470890038
7,1789025893.8965335,loss/pose_mean,1.7478468470890038
7,1789025893.8965335,macros,373.0
7,1789025893.8965335,passes/detect,0.0
7,1789025893.8965335,passes/pose,1.0
7,1789025893.8965335,pose_wraps,0.0
8,1789025982.2809036,images/detect,0.0
8,1789025982.2809036,images/pose,5964.0
8,1789025982.2809036,loss/detect_mean,0.0
8,1789025982.2809036,loss/joint_mean,1.695338325641205
8,1789025982.2809036,loss/pose_mean,1.695338325641205
8,1789025982.2809036,macros,373.0
8,1789025982.2809036,passes/detect,0.0
8,1789025982.2809036,passes/pose,1.0
8,1789025982.2809036,pose_wraps,0.0
9,1789026070.4681578,images/detect,0.0
9,1789026070.4681578,images/pose,5964.0
9,1789026070.4681578,loss/detect_mean,0.0
9,1789026070.4681578,loss/joint_mean,1.6365023254148916
