step,time_unix,metric,value
0,1789025320.1291678,delta/bbat/ball/box/map50_95,-0.01869696305422608
0,1789025320.1291678,delta/bbat/ball/pose/map50_95,-0.018971508731064346
0,1789025320.1291678,delta/bbat/bat/box/map50_95,-0.07836309681658571
0,1789025320.1291678,delta/bbat/bat/pose/map50_95,-0.06390688785213139
0,1789025320.1291678,delta/bbat/box/map50_95,-0.048530029935406005
0,1789025320.1291678,delta/bbat/pose/map50_95,-0.04143919829159781
0,1789025320.1291678,delta/coco/box/map50_95,-0.007044620868341123
0,1789025320.1291678,delta/coco/person/box/map50_95,-0.009424547069164069
0,1789025320.1291678,passed,1.0
0,1789025320.1291678,score/best_detect,0.5597034571536176
0,1789025320.1291678,score/best_joint,0.6886566393538137
0,1789025320.1291678,score/best_pose,0.7265774663861211
1,1789025408.5436072,delta/bbat/ball/box/map50_95,-0.04338694279680155
1,1789025408.5436072,delta/bbat/ball/pose/map50_95,-0.022897821677634655
1,1789025408.5436072,delta/bbat/bat/box/map50_95,-0.0639809936291853
1,1789025408.5436072,delta/bbat/bat/pose/map50_95,-0.05566637409472408
1,1789025408.5436072,delta/bbat/box/map50_95,-0.053683968212993594
1,1789025408.5436072,delta/bbat/pose/map50_95,-0.03928209788617942
1,1789025408.5436072,delta/coco/box/map50_95,-0.023258656312789228
1,1789025408.5436072,delta/coco/person/box/map50_95,-0.01922153908697055
1,1789025408.5436072,passed,1.0
1,1789025408.5436072,score/best_detect,0.5466979434224903
1,1789025408.5436072,score/best_joint,0.6832864863680126
1,1789025408.5436072,score/best_pose,0.7250790474500365
2,1789025495.333108,delta/bbat/ball/box/map50_95,-0.03055516261838781
2,1789025495.333108,delta/bbat/ball/pose/map50_95,-0.013535612848877387
2,1789025495.333108,delta/bbat/bat/box/map50_95,-0.0582077907879508
2,1789025495.333108,delta/bbat/bat/pose/map50_95,-0.0542716675923427
2,1789025495.333108,delta/bbat/box/map50_95,-0.0443814767031695
2,1789025495.333108,delta/bbat/pose/map50_95,-0.03390364022060999
2,1789025495.333108,delta/coco/box/map50_95,-0.03296623188235409
2,1789025495.333108,delta/coco/person/box/map50_95,-0.02513274290620804
2,1789025495.333108,passed,1.0
2,1789025495.333108,score/best_detect,0.5388885537280891
2,1789025495.333108,score/best_joint,0.6841746118584447
