step,time_unix,metric,value
0,1789021814.4954379,images/detect,0.0
0,1789021814.4954379,images/pose,5964.0
0,1789021814.4954379,loss/detect_mean,0.0
0,1789021814.4954379,loss/joint_mean,6.182104871866289
0,1789021814.4954379,loss/pose_mean,6.182104871866289
0,1789021814.4954379,macros,373.0
0,1789021814.4954379,passes/detect,0.0
0,1789021814.4954379,passes/pose,1.0
0,1789021814.4954379,pose_wraps,0.0
1,1789021886.7184823,images/detect,0.0
1,1789021886.7184823,images/pose,5964.0
1,1789021886.7184823,loss/detect_mean,0.0
1,1789021886.7184823,loss/joint_mean,6.720463795601162
1,1789021886.7184823,loss/pose_mean,6.720463795601162
1,1789021886.7184823,macros,373.0
1,1789021886.7184823,passes/detect,0.0
1,1789021886.7184823,passes/pose,1.0
1,1789021886.7184823,pose_wraps,0.0
2,1789021959.131645,images/detect,0.0
2,1789021959.131645,images/pose,5964.0
2,1789021959.131645,loss/detect_mean,0.0
2,1789021959.131645,loss/joint_mean,6.49154681698897
2,1789021959.131645,loss/pose_mean,6.49154681698897
2,1789021959.131645,macros,373.0
2,1789021959.131645,passes/detect,0.0
2,1789021959.131645,passes/pose,1.0
2,1789021959.131645,pose_wraps,0.0
3,1789022031.4330091,images/detect,0.0
3,1789022031.4330091,images/pose,5964.0
3,1789022031.4330091,loss/detect_mean,0.0
3,1789022031.4330091,loss/joint_mean,6.19399375966697
3,1789022031.4330091,loss/pose_mean,6.19399375966697
3,1789022031.4330091,macros,373.0
3,1789022031.4330091,passes/detect,0.0
3,1789022031.4330091,passes/pose,1.0
3,1789022031.4330091,pose_wraps,0.0
4,1789022105.032468,images/detect,0.0
4,1789022105.032468,images/pose,5964.0
4,1789022105.032468,loss/detect_mean,0.0
4,1789022105.032468,loss/joint_mean,6.03029481106201
4,1789022105.032468,loss/pose_mean,6.03029481106201
4,1789022105.032468,macros,373.0
4,1789022105.032468,passes/detect,0.0
4,1789022105.032468,passes/pose,1.0
4,1789022105.032468,pose_wraps,0.0
5,1789022178.6259167,images/detect,0.0
5,1789022178.6259167,images/pose,5964.0
5,1789022178.6259167,loss/detect_mean,0.0
5,1789022178.6259167,loss/joint_mean,5.719776948612861
5,1789022178.6259167,loss/pose_mean,5.719776948612861
5,1789022178.6259167,macros,373.0
5,1789022178.6259167,passes/detect,0.0
5,1789022178.6259167,passes/pose,1.0
5,1789022178.6259167,pose_wraps,0.0
6,1789022251.4820518,images/detect,0.0
6,1789022251.4820518,images/pose,5964.0
6,1789022251.4820518,loss/detect_mean,0.0
6,1789022251.4820518,loss/joint_mean,5.511344001406715
6,1789022251.4820518,loss/pose_mean,5.511344001406715
6,1789022251.4820518,macros,373.0
6,1789022251.4820518,passes/detect,0.0
6,1789022251.4820518,passes/pose,1.0
6,1789022251.4820518,pose_wraps,0.0
7,1789022324.59134,images/detect,0.0
7,1789022324.59134,images/pose,5964.0
7,1789022324.59134,loss/detect_mean,0.0
7,1789022324.59134,loss/joint_mean,5.236993719314586
7,1789022324.59134,loss/pose_mean,5.236993719314586
7,1789022324.59134,macros,373.0
7,1789022324.59134,passes/detect,0.0
7,1789022324.59134,passes/pose,1.0
7,1789022324.59134,pose_wraps,0.0
8,1789022397.8530388,images/detect,0.0
8,1789022397.8530388,images/pose,5964.0
8,1789022397.8530388,loss/detect_mean,0.0
8,1789022397.8530388,loss/joint_mean,5.066874400470818
8,1789022397.8530388,loss/pose_mean,5.066874400470818
8,1789022397.8530388,macros,373.0
8,1789022397.8530388,passes/detect,0.0
8,1789022397.8530388,passes/pose,1.0
8,1789022397.8530388,pose_wraps,0.0
9,1789022471.4915829,images/detect,0.0
9,1789022471.4915829,images/pose,5964.0
9,1789022471.4915829,loss/detect_mean,0.0
9,1789022471.4915829,loss/joint_mean,4.788427495540668
9,1789022471.4915829,loss/pose_mean,4.788427495540668
9,1789022471.4915829,macros,373.0
