step,time_unix,metric,value
0,1789021852.2832956,delta/bbat/ball/box/map50_95,-0.08609940984436404
0,1789021852.2832956,delta/bbat/ball/pose/map50_95,-0.10523126181173825
0,1789021852.2832956,delta/bbat/bat/box/map50_95,-0.157963892116591
0,1789021852.2832956,delta/bbat/bat/pose/map50_95,-0.12111628799840846
0,1789021852.2832956,delta/bbat/box/map50_95,-0.12203165098047764
0,1789021852.2832956,delta/bbat/pose/map50_95,-0.11317377490507341
0,1789021852.2832956,delta/coco/box/map50_95,0.0
0,1789021852.2832956,delta/coco/person/box/map50_95,0.0
0,1789021852.2832956,passed,0.0
0,1789021852.2832956,score/best_detect,0.5679380411223702
0,1789021852.2832956,score/best_joint,0.6485563180869102
0,1789021852.2832956,score/best_pose,0.6539593675568475
1,1789021924.5305526,delta/bbat/ball/box/map50_95,-0.0846127670926281
1,1789021924.5305526,delta/bbat/ball/pose/map50_95,-0.08363075009149767
1,1789021924.5305526,delta/bbat/bat/box/map50_95,-0.16127611417862686
1,1789021924.5305526,delta/bbat/bat/pose/map50_95,-0.12783452690642794
1,1789021924.5305526,delta/bbat/box/map50_95,-0.1229444406356276
1,1789021924.5305526,delta/bbat/pose/map50_95,-0.10573263849896275
1,1789021924.5305526,delta/coco/box/map50_95,0.0
1,1789021924.5305526,delta/coco/person/box/map50_95,0.0
1,1789021924.5305526,passed,0.0
1,1789021924.5305526,score/best_detect,0.5679380411223702
1,1789021924.5305526,score/best_joint,0.6513502147183244
1,1789021924.5305526,score/best_pose,0.6572235409323278
2,1789021997.6438696,delta/bbat/ball/box/map50_95,-0.07935755151886464
2,1789021997.6438696,delta/bbat/ball/pose/map50_95,-0.08361028796025194
2,1789021997.6438696,delta/bbat/bat/box/map50_95,-0.16313309652101304
2,1789021997.6438696,delta/bbat/bat/pose/map50_95,-0.13223097513788884
2,1789021997.6438696,delta/bbat/box/map50_95,-0.12124532401993893
2,1789021997.6438696,delta/bbat/pose/map50_95,-0.1079206315490705
2,1789021997.6438696,delta/coco/box/map50_95,0.0
2,1789021997.6438696,delta/coco/person/box/map50_95,0.0
2,1789021997.6438696,passed,0.0
2,1789021997.6438696,score/best_detect,0.5679380411223702
2,1789021997.6438696,score/best_joint,0.6508148408214192
2,1789021997.6438696,score/best_pose,0.6569791027151183
3,1789022069.6403155,delta/bbat/ball/box/map50_95,-0.07721824032312524
3,1789022069.6403155,delta/bbat/ball/pose/map50_95,-0.06271204133248287
