step,time_unix,metric,value
0,1789021306.4631052,delta/bbat/ball/box/map50_95,-0.13950810232544958
0,1789021306.4631052,delta/bbat/ball/pose/map50_95,-0.0948683760690231
0,1789021306.4631052,delta/bbat/bat/box/map50_95,-0.17509127671078395
0,1789021306.4631052,delta/bbat/bat/pose/map50_95,-0.11310930410990327
0,1789021306.4631052,delta/bbat/box/map50_95,-0.1572996895181169
0,1789021306.4631052,delta/bbat/pose/map50_95,-0.1039888400894633
0,1789021306.4631052,delta/coco/box/map50_95,-0.040303633341385925
0,1789021306.4631052,delta/coco/person/box/map50_95,-0.0351668240158598
0,1789021306.4631052,passed,0.0
0,1789021306.4631052,score/best_detect,0.5302028124437473
0,1789021306.4631052,score/best_joint,0.6300825928341772
0,1789021306.4631052,score/best_pose,0.6409178156958328
