step,time_unix,metric,value
0,1789020724.9639761,amp/overflow_retries,8.0
0,1789020724.9639761,amp/scale,256.0
0,1789020724.9639761,detect/component_0,1.00758957862854
0,1789020724.9639761,detect/component_1,0.9763821959495544
0,1789020724.9639761,detect/component_2,0.006531568244099617
0,1789020724.9639761,gradient/clipped_norm,2998.932861328125
0,1789020724.9639761,gradient/detect_shared_norm,328.58128777496984
0,1789020724.9639761,gradient/pose_shared_norm,2904.993381470381
0,1789020724.9639761,gradient/shared_cosine,-0.021734833334301974
0,1789020724.9639761,images/detect,256.0
0,1789020724.9639761,images/pose,16.0
0,1789020724.9639761,loss/backward,190.58493347167968
0,1789020724.9639761,loss/detect_mean,1.6704220175743103
0,1789020724.9639761,loss/joint_mean,2.977889585494995
0,1789020724.9639761,loss/pose_mean,8.207759857177734
0,1789020724.9639761,lr/attention.decay,0.0
0,1789020724.9639761,lr/attention.no_decay,0.0
0,1789020724.9639761,lr/backbone.decay,0.0
0,1789020724.9639761,lr/backbone.no_decay,0.0
0,1789020724.9639761,lr/detect_head.decay,2.038876889848812e-05
0,1789020724.9639761,lr/detect_head.no_decay,2.038876889848812e-05
0,1789020724.9639761,lr/masf.decay,1.019438444924406e-06
0,1789020724.9639761,lr/masf.no_decay,1.019438444924406e-06
0,1789020724.9639761,lr/neck.decay,7.645788336933045e-06
0,1789020724.9639761,lr/neck.no_decay,7.645788336933045e-06
0,1789020724.9639761,lr/pose_head.decay,2.038876889848812e-05
0,1789020724.9639761,lr/pose_head.no_decay,2.038876889848812e-05
0,1789020724.9639761,pose/component_0,1.3404940366744995
0,1789020724.9639761,pose/component_1,0.4104289412498474
0,1789020724.9639761,pose/component_2,0.08352337777614594
0,1789020724.9639761,pose/component_3,0.8313000798225403
0,1789020724.9639761,pose/component_4,0.0055563077330589294
0,1789020724.9639761,pose/component_5,4.423306941986084
1,1789020726.1208627,amp/overflow_retries,0.0
1,1789020726.1208627,amp/scale,256.0
1,1789020726.1208627,detect/component_0,1.1189082860946655
1,1789020726.1208627,detect/component_1,1.0321992635726929
1,1789020726.1208627,detect/component_2,0.0063575501553714275
1,1789020726.1208627,gradient/clipped_norm,1711.355712890625
1,1789020726.1208627,images/detect,256.0
1,1789020726.1208627,images/pose,16.0
1,1789020726.1208627,loss/backward,164.14404296875
1,1789020726.1208627,loss/detect_mean,1.7719024419784546
1,1789020726.1208627,loss/joint_mean,2.5647506713867188
1,1789020726.1208627,loss/pose_mean,5.736143589019775
1,1789020726.1208627,lr/attention.decay,0.0
1,1789020726.1208627,lr/attention.no_decay,0.0
1,1789020726.1208627,lr/backbone.decay,0.0
1,1789020726.1208627,lr/backbone.no_decay,0.0
1,1789020726.1208627,lr/detect_head.decay,2.0777537796976244e-05
1,1789020726.1208627,lr/detect_head.no_decay,2.0777537796976244e-05
1,1789020726.1208627,lr/masf.decay,1.0388768898488122e-06
1,1789020726.1208627,lr/masf.no_decay,1.0388768898488122e-06
1,1789020726.1208627,lr/neck.decay,7.79157667386609e-06
