step,time_unix,metric,value
0,1789067686.7913027,delta/bbat/ball/box/map50_95,-0.01894565812663085
0,1789067686.7913027,delta/bbat/ball/pose/map50_95,-0.024739601024312274
0,1789067686.7913027,delta/bbat/bat/box/map50_95,-0.030183603735232323
0,1789067686.7913027,delta/bbat/bat/pose/map50_95,-0.029744653676210042
0,1789067686.7913027,delta/bbat/box/map50_95,-0.024564630930931752
0,1789067686.7913027,delta/bbat/pose/map50_95,-0.027242127350261214
0,1789067686.7913027,delta/coco/box/map50_95,0.0
0,1789067686.7913027,delta/coco/person/box/map50_95,0.0
0,1789067686.7913027,passed,0.0
0,1789067686.7913027,score/best_detect,0.5656124702156835
0,1789067686.7913027,score/best_joint,0.7014921527560696
0,1789067686.7913027,score/best_pose,0.7456587013590266
1,1789067760.147689,delta/bbat/ball/box/map50_95,-0.019444391756028634
1,1789067760.147689,delta/bbat/ball/pose/map50_95,-0.028695544631584413
1,1789067760.147689,delta/bbat/bat/box/map50_95,-0.029037129029412245
1,1789067760.147689,delta/bbat/bat/pose/map50_95,-0.029101365083104014
1,1789067760.147689,delta/bbat/box/map50_95,-0.024240760392720495
1,1789067760.147689,delta/bbat/pose/map50_95,-0.028898454857344436
1,1789067760.147689,delta/coco/box/map50_95,0.0
1,1789067760.147689,delta/coco/person/box/map50_95,0.0
1,1789067760.147689,passed,0.0
1,1789067760.147689,score/best_detect,0.5656124702156835
1,1789067760.147689,score/best_joint,0.7008943958608785
1,1789067760.147689,score/best_pose,0.7449924728745905
2,1789067833.044347,delta/bbat/ball/box/map50_95,-0.016694099839284382
2,1789067833.044347,delta/bbat/ball/pose/map50_95,-0.02838012735235107
2,1789067833.044347,delta/bbat/bat/box/map50_95,-0.025117440643278366
2,1789067833.044347,delta/bbat/bat/pose/map50_95,-0.028721825936793954
2,1789067833.044347,delta/bbat/box/map50_95,-0.020905770241281374
2,1789067833.044347,delta/bbat/pose/map50_95,-0.028550976644572845
2,1789067833.044347,delta/coco/box/map50_95,0.0
2,1789067833.044347,delta/coco/person/box/map50_95,0.0
2,1789067833.044347,passed,0.0
2,1789067833.044347,score/best_detect,0.5656124702156835
2,1789067833.044347,score/best_joint,0.701700385176275
2,1789067833.044347,score/best_pose,0.7468337070566959
3,1789067905.7794037,delta/bbat/ball/box/map50_95,-0.019150905911428096
3,1789067905.7794037,delta/bbat/ball/pose/map50_95,-0.02749948157949922
3,1789067905.7794037,delta/bbat/bat/box/map50_95,-0.027234873160040474
3,1789067905.7794037,delta/bbat/bat/pose/map50_95,-0.030079508043205805
3,1789067905.7794037,delta/bbat/box/map50_95,-0.023192889535734285
3,1789067905.7794037,delta/bbat/pose/map50_95,-0.028789494811352512
3,1789067905.7794037,delta/coco/box/map50_95,0.0
3,1789067905.7794037,delta/coco/person/box/map50_95,0.0
3,1789067905.7794037,passed,0.0
3,1789067905.7794037,score/best_detect,0.5656124702156835
3,1789067905.7794037,score/best_joint,0.7011475540506725
3,1789067905.7794037,score/best_pose,0.7455708883260797
4,1789067979.0628421,delta/bbat/ball/box/map50_95,-0.0185460121082357
4,1789067979.0628421,delta/bbat/ball/pose/map50_95,-0.021844997826028112
4,1789067979.0628421,delta/bbat/bat/box/map50_95,-0.025835382663208062
4,1789067979.0628421,delta/bbat/bat/pose/map50_95,-0.028982840006436694
4,1789067979.0628421,delta/bbat/box/map50_95,-0.022190697385722102
4,1789067979.0628421,delta/bbat/pose/map50_95,-0.02541391891623257
4,1789067979.0628421,delta/coco/box/map50_95,0.0
4,1789067979.0628421,delta/coco/person/box/map50_95,0.0
4,1789067979.0628421,passed,0.0
4,1789067979.0628421,score/best_detect,0.5656124702156835
4,1789067979.0628421,score/best_joint,0.7026982228387229
4,1789067979.0628421,score/best_pose,0.7477597723486457
5,1789068052.1213682,delta/bbat/ball/box/map50_95,-0.01536888848944079
5,1789068052.1213682,delta/bbat/ball/pose/map50_95,-0.02289806316695897
5,1789068052.1213682,delta/bbat/bat/box/map50_95,-0.028699742544143536
5,1789068052.1213682,delta/bbat/bat/pose/map50_95,-0.02903305688260005
5,1789068052.1213682,delta/bbat/box/map50_95,-0.022034315516792358
5,1789068052.1213682,delta/bbat/pose/map50_95,-0.025965560024779566
5,1789068052.1213682,delta/coco/box/map50_95,0.0
5,1789068052.1213682,delta/coco/person/box/map50_95,0.0
5,1789068052.1213682,passed,0.0
5,1789068052.1213682,score/best_detect,0.5656124702156835
5,1789068052.1213682,score/best_joint,0.7025088427690901
5,1789068052.1213682,score/best_pose,0.747562142728837
6,1789068125.475307,delta/bbat/ball/box/map50_95,-0.021504811834770154
6,1789068125.475307,delta/bbat/ball/pose/map50_95,-0.024659628507852083
6,1789068125.475307,delta/bbat/bat/box/map50_95,-0.025884508971214082
6,1789068125.475307,delta/bbat/bat/pose/map50_95,-0.02961079005827305
6,1789068125.475307,delta/bbat/box/map50_95,-0.023694660402992063
6,1789068125.475307,delta/bbat/pose/map50_95,-0.02713520928306279
6,1789068125.475307,delta/coco/box/map50_95,0.0
6,1789068125.475307,delta/coco/person/box/map50_95,0.0
6,1789068125.475307,passed,0.0
6,1789068125.475307,score/best_detect,0.5656124702156835
6,1789068125.475307,score/best_joint,0.7017089140885369
6,1789068125.475307,score/best_pose,0.7461471456565956
7,1789068198.8160913,delta/bbat/ball/box/map50_95,-0.017548891559062807
7,1789068198.8160913,delta/bbat/ball/pose/map50_95,-0.025562401206434937
7,1789068198.8160913,delta/bbat/bat/box/map50_95,-0.024624362013838108
7,1789068198.8160913,delta/bbat/bat/pose/map50_95,-0.029295869896072357
7,1789068198.8160913,delta/bbat/box/map50_95,-0.021086626786450458
7,1789068198.8160913,delta/bbat/pose/map50_95,-0.027429135551253703
7,1789068198.8160913,delta/coco/box/map50_95,0.0
7,1789068198.8160913,delta/coco/person/box/map50_95,0.0
7,1789068198.8160913,passed,0.0
7,1789068198.8160913,score/best_detect,0.5656124702156835
7,1789068198.8160913,score/best_joint,0.7021129503045689
7,1789068198.8160913,score/best_pose,0.747304199330771
8,1789068272.4513376,delta/bbat/ball/box/map50_95,-0.021407423588546803
8,1789068272.4513376,delta/bbat/ball/pose/map50_95,-0.023971428247293924
8,1789068272.4513376,delta/bbat/bat/box/map50_95,-0.029871188824599382
8,1789068272.4513376,delta/bbat/bat/pose/map50_95,-0.028828497985499024
8,1789068272.4513376,delta/bbat/box/map50_95,-0.025639306206573176
8,1789068272.4513376,delta/bbat/pose/map50_95,-0.026399963116396474
8,1789068272.4513376,delta/coco/box/map50_95,0.0
8,1789068272.4513376,delta/coco/person/box/map50_95,0.0
8,1789068272.4513376,passed,0.0
8,1789068272.4513376,score/best_detect,0.5656124702156835
8,1789068272.4513376,score/best_joint,0.7016140833944872
8,1789068272.4513376,score/best_pose,0.7455424458381381
