step,time_unix,metric,value
0,1789120292.3586187,delta/bbat/ball/box/map50_95,-0.01547605620598197
0,1789120292.3586187,delta/bbat/ball/pose/map50_95,-0.00836225661688661
0,1789120292.3586187,delta/bbat/bat/box/map50_95,-0.006323659881387611
0,1789120292.3586187,delta/bbat/bat/pose/map50_95,0.0017304304268919157
0,1789120292.3586187,delta/bbat/box/map50_95,-0.010899858043684874
0,1789120292.3586187,delta/bbat/pose/map50_95,-0.003315913094997236
0,1789120292.3586187,delta/coco/box/map50_95,-0.00021395653093025935
0,1789120292.3586187,delta/coco/person/box/map50_95,-9.458251756133684e-05
0,1789120292.3586187,passed,0.0
0,1789120292.3586187,score/best_detect,0.564731883895105
0,1789120292.3586187,score/best_joint,0.7025194740053017
0,1789120292.3586187,score/best_pose,0.7475603166800744
1,1789122863.5832875,delta/bbat/ball/box/map50_95,-0.00627167864591982
1,1789122863.5832875,delta/bbat/ball/pose/map50_95,-0.007194984544560801
1,1789122863.5832875,delta/bbat/bat/box/map50_95,0.0007367200547958586
1,1789122863.5832875,delta/bbat/bat/pose/map50_95,0.004725851005962234
1,1789122863.5832875,delta/bbat/box/map50_95,-0.002767479295562092
1,1789122863.5832875,delta/bbat/pose/map50_95,-0.001234566769299228
1,1789122863.5832875,delta/coco/box/map50_95,-0.0005912295780722276
1,1789122863.5832875,delta/coco/person/box/map50_95,-0.0002874491528812584
1,1789122863.5832875,passed,0.0
1,1789122863.5832875,score/best_detect,0.5644468140538741
1,1789122863.5832875,score/best_joint,0.7048644603487131
1,1789122863.5832875,score/best_pose,0.7526671792169848
2,1789125439.5471025,delta/bbat/ball/box/map50_95,-0.008832644142196866
2,1789125439.5471025,delta/bbat/ball/pose/map50_95,-0.005042293492036554
2,1789125439.5471025,delta/bbat/bat/box/map50_95,0.0028718648374888023
2,1789125439.5471025,delta/bbat/bat/pose/map50_95,0.004829571069986716
2,1789125439.5471025,delta/bbat/box/map50_95,-0.002980389652354032
2,1789125439.5471025,delta/bbat/pose/map50_95,-0.00010636121102503004
2,1789125439.5471025,delta/coco/box/map50_95,-0.0014565982516074882
2,1789125439.5471025,delta/coco/person/box/map50_95,-0.0003722000471240161
2,1789125439.5471025,passed,0.0
2,1789125439.5471025,score/best_detect,0.5639717542699851
2,1789125439.5471025,score/best_joint,0.7050831365871089
2,1789125439.5471025,score/best_pose,0.753124826817726
3,1789128016.3572335,delta/bbat/ball/box/map50_95,-0.009751604033401862
3,1789128016.3572335,delta/bbat/ball/pose/map50_95,-0.00014262205450543686
3,1789128016.3572335,delta/bbat/bat/box/map50_95,0.001180574772653653
3,1789128016.3572335,delta/bbat/bat/pose/map50_95,0.005726342801985473
3,1789128016.3572335,delta/bbat/box/map50_95,-0.0042855146303740765
3,1789128016.3572335,delta/bbat/pose/map50_95,0.0027918603737397962
3,1789128016.3572335,delta/coco/box/map50_95,-0.0009306576744954054
3,1789128016.3572335,delta/coco/person/box/map50_95,-0.0006939018868409308
3,1789128016.3572335,passed,0.0
3,1789128016.3572335,score/best_detect,0.5640738736386827
3,1789128016.3572335,score/best_joint,0.7060222479728897
3,1789128016.3572335,score/best_pose,0.7539213751210982
4,1789130598.505637,delta/bbat/ball/box/map50_95,-0.01050205785431474
4,1789130598.505637,delta/bbat/ball/pose/map50_95,-0.009099722230762275
4,1789130598.505637,delta/bbat/bat/box/map50_95,0.003892860232210804
4,1789130598.505637,delta/bbat/bat/pose/map50_95,0.007036737748373767
4,1789130598.505637,delta/bbat/box/map50_95,-0.0033045988110519398
4,1789130598.505637,delta/bbat/pose/map50_95,-0.001031492241194143
4,1789130598.505637,delta/coco/box/map50_95,-0.002431692487564141
4,1789130598.505637,delta/coco/person/box/map50_95,-0.0032737084104512704
4,1789130598.505637,passed,0.0
4,1789130598.505637,score/best_detect,0.5620334529703431
4,1789130598.505637,score/best_joint,0.7038729218234447
4,1789130598.505637,score/best_pose,0.7525001567232924
