step,time_unix,metric,value
0,1789131942.557355,amp/overflow_retries,6.0
0,1789131942.557355,amp/scale,1024.0
0,1789131942.557355,gradient/clipped_norm,328.2931213378906
0,1789131942.557355,images/detect,0.0
0,1789131942.557355,images/pose,16.0
0,1789131942.557355,loss/backward,74.74808502197266
0,1789131942.557355,loss/detect_mean,0.0
0,1789131942.557355,loss/joint_mean,1.1679388284683228
0,1789131942.557355,loss/pose_mean,1.1679388284683228
0,1789131942.557355,lr/attention.decay,0.0
0,1789131942.557355,lr/attention.no_decay,0.0
0,1789131942.557355,lr/backbone.decay,0.0
0,1789131942.557355,lr/backbone.no_decay,0.0
0,1789131942.557355,lr/detect_head.decay,0.0
0,1789131942.557355,lr/detect_head.no_decay,0.0
0,1789131942.557355,lr/neck.decay,0.0
0,1789131942.557355,lr/neck.no_decay,0.0
0,1789131942.557355,lr/pose_head.decay,1.024128686327078e-06
0,1789131942.557355,lr/pose_head.no_decay,1.024128686327078e-06
0,1789131942.557355,pose/component_0,0.8337836861610413
0,1789131942.557355,pose/component_1,0.025619860738515854
0,1789131942.557355,pose/component_2,0.031432487070560455
0,1789131942.557355,pose/component_3,0.28027158975601196
0,1789131942.557355,pose/component_4,0.0032040318474173546
0,1789131942.557355,pose/component_5,0.0
1,1789131942.7513785,amp/overflow_retries,0.0
1,1789131942.7513785,amp/scale,1024.0
1,1789131942.7513785,gradient/clipped_norm,367.777587890625
1,1789131942.7513785,images/detect,0.0
1,1789131942.7513785,images/pose,16.0
1,1789131942.7513785,loss/backward,101.84672546386719
1,1789131942.7513785,loss/detect_mean,0.0
1,1789131942.7513785,loss/joint_mean,1.5913550853729248
1,1789131942.7513785,loss/pose_mean,1.5913550853729248
1,1789131942.7513785,lr/attention.decay,0.0
1,1789131942.7513785,lr/attention.no_decay,0.0
1,1789131942.7513785,lr/backbone.decay,0.0
1,1789131942.7513785,lr/backbone.no_decay,0.0
1,1789131942.7513785,lr/detect_head.decay,0.0
1,1789131942.7513785,lr/detect_head.no_decay,0.0
1,1789131942.7513785,lr/neck.decay,0.0
1,1789131942.7513785,lr/neck.no_decay,0.0
1,1789131942.7513785,lr/pose_head.decay,1.0482573726541556e-06
1,1789131942.7513785,lr/pose_head.no_decay,1.0482573726541556e-06
1,1789131942.7513785,pose/component_0,1.1753156185150146
1,1789131942.7513785,pose/component_1,0.06327226758003235
1,1789131942.7513785,pose/component_2,0.005607545375823975
1,1789131942.7513785,pose/component_3,0.6227949857711792
1,1789131942.7513785,pose/component_4,0.0025929000694304705
1,1789131942.7513785,pose/component_5,0.0
2,1789131942.9449775,amp/overflow_retries,0.0
2,1789131942.9449775,amp/scale,1024.0
2,1789131942.9449775,gradient/clipped_norm,408.9852600097656
2,1789131942.9449775,images/detect,0.0
2,1789131942.9449775,images/pose,16.0
2,1789131942.9449775,loss/backward,68.30313110351562
2,1789131942.9449775,loss/detect_mean,0.0
2,1789131942.9449775,loss/joint_mean,1.0672364234924316
2,1789131942.9449775,loss/pose_mean,1.0672364234924316
2,1789131942.9449775,lr/attention.decay,0.0
2,1789131942.9449775,lr/attention.no_decay,0.0
2,1789131942.9449775,lr/backbone.decay,0.0
2,1789131942.9449775,lr/backbone.no_decay,0.0
2,1789131942.9449775,lr/detect_head.decay,0.0
2,1789131942.9449775,lr/detect_head.no_decay,0.0
2,1789131942.9449775,lr/neck.decay,0.0
2,1789131942.9449775,lr/neck.no_decay,0.0
2,1789131942.9449775,lr/pose_head.decay,1.0723860589812334e-06
2,1789131942.9449775,lr/pose_head.no_decay,1.0723860589812334e-06
2,1789131942.9449775,pose/component_0,0.7359427809715271
2,1789131942.9449775,pose/component_1,0.018035728484392166
2,1789131942.9449775,pose/component_2,0.04815319553017616
2,1789131942.9449775,pose/component_3,0.30192041397094727
2,1789131942.9449775,pose/component_4,0.0020624161697924137
2,1789131942.9449775,pose/component_5,0.0
3,1789131943.1376686,amp/overflow_retries,0.0
3,1789131943.1376686,amp/scale,1024.0
3,1789131943.1376686,gradient/clipped_norm,362.3177490234375
3,1789131943.1376686,images/detect,0.0
3,1789131943.1376686,images/pose,16.0
3,1789131943.1376686,loss/backward,84.30500793457031
3,1789131943.1376686,loss/detect_mean,0.0
3,1789131943.1376686,loss/joint_mean,1.3172657489776611
3,1789131943.1376686,loss/pose_mean,1.3172657489776611
3,1789131943.1376686,lr/attention.decay,0.0
3,1789131943.1376686,lr/attention.no_decay,0.0
3,1789131943.1376686,lr/backbone.decay,0.0
3,1789131943.1376686,lr/backbone.no_decay,0.0
3,1789131943.1376686,lr/detect_head.decay,0.0
3,1789131943.1376686,lr/detect_head.no_decay,0.0
3,1789131943.1376686,lr/neck.decay,0.0
3,1789131943.1376686,lr/neck.no_decay,0.0
3,1789131943.1376686,lr/pose_head.decay,1.0965147453083111e-06
3,1789131943.1376686,lr/pose_head.no_decay,1.0965147453083111e-06
3,1789131943.1376686,pose/component_0,1.0506703853607178
3,1789131943.1376686,pose/component_1,0.031435541808605194
3,1789131943.1376686,pose/component_2,0.0011494930367916822
3,1789131943.1376686,pose/component_3,0.5203506350517273
3,1789131943.1376686,pose/component_4,0.002325866837054491
3,1789131943.1376686,pose/component_5,0.0
4,1789131943.3325603,amp/overflow_retries,0.0
4,1789131943.3325603,amp/scale,1024.0
4,1789131943.3325603,gradient/clipped_norm,301.6829528808594
4,1789131943.3325603,images/detect,0.0
4,1789131943.3325603,images/pose,16.0
4,1789131943.3325603,loss/backward,75.30638122558594
4,1789131943.3325603,loss/detect_mean,0.0
4,1789131943.3325603,loss/joint_mean,1.1766622066497803
4,1789131943.3325603,loss/pose_mean,1.1766622066497803
4,1789131943.3325603,lr/attention.decay,0.0
4,1789131943.3325603,lr/attention.no_decay,0.0
4,1789131943.3325603,lr/backbone.decay,0.0
4,1789131943.3325603,lr/backbone.no_decay,0.0
4,1789131943.3325603,lr/detect_head.decay,0.0
4,1789131943.3325603,lr/detect_head.no_decay,0.0
4,1789131943.3325603,lr/neck.decay,0.0
4,1789131943.3325603,lr/neck.no_decay,0.0
4,1789131943.3325603,lr/pose_head.decay,1.120643431635389e-06
4,1789131943.3325603,lr/pose_head.no_decay,1.120643431635389e-06
4,1789131943.3325603,pose/component_0,0.7944694757461548
4,1789131943.3325603,pose/component_1,0.012970143929123878
4,1789131943.3325603,pose/component_2,0.003471178701147437
4,1789131943.3325603,pose/component_3,0.35201480984687805
4,1789131943.3325603,pose/component_4,0.00203029066324234
4,1789131943.3325603,pose/component_5,0.0
5,1789131944.2559388,amp/overflow_retries,4.0
5,1789131944.2559388,amp/scale,64.0
5,1789131944.2559388,gradient/clipped_norm,4367.8388671875
5,1789131944.2559388,images/detect,0.0
5,1789131944.2559388,images/pose,16.0
