step,time_unix,metric,value
0,1789132713.294431,delta/bbat/ball/box/map50_95,-0.007241929885819065
0,1789132713.294431,delta/bbat/ball/pose/map50_95,-0.0005879001015755003
0,1789132713.294431,delta/bbat/bat/box/map50_95,-0.004611848661308038
0,1789132713.294431,delta/bbat/bat/pose/map50_95,-0.0003140632464777582
0,1789132713.294431,delta/bbat/box/map50_95,-0.0059268892735638845
0,1789132713.294431,delta/bbat/pose/map50_95,-0.00045098167402668476
0,1789132713.294431,delta/coco/box/map50_95,0.0
0,1789132713.294431,delta/coco/person/box/map50_95,0.0
0,1789132713.294431,passed,0.0
0,1789132713.294431,score/best_detect,0.5648861534193508
0,1789132713.294431,score/best_joint,0.7047217481374124
0,1789132713.294431,score/best_pose,0.7514792667756202
1,1789132935.6249259,delta/bbat/ball/box/map50_95,-0.0033133231763975424
1,1789132935.6249259,delta/bbat/ball/pose/map50_95,0.002066837412066591
1,1789132935.6249259,delta/bbat/bat/box/map50_95,-0.004871954227655517
1,1789132935.6249259,delta/bbat/bat/pose/map50_95,0.0011986811889869164
1,1789132935.6249259,delta/bbat/box/map50_95,-0.004092638702026585
1,1789132935.6249259,delta/bbat/pose/map50_95,0.0016327593005268648
1,1789132935.6249259,delta/coco/box/map50_95,0.0
1,1789132935.6249259,delta/coco/person/box/map50_95,0.0
1,1789132935.6249259,passed,0.0
1,1789132935.6249259,score/best_detect,0.5648861534193508
1,1789132935.6249259,score/best_joint,0.7059220946415413
1,1789132935.6249259,score/best_pose,0.7534382625486655
2,1789133158.8230252,delta/bbat/ball/box/map50_95,-0.00780195932153821
2,1789133158.8230252,delta/bbat/ball/pose/map50_95,0.0013629171548640295
2,1789133158.8230252,delta/bbat/bat/box/map50_95,-0.003907279394919194
2,1789133158.8230252,delta/bbat/bat/pose/map50_95,-0.0016315819661821829
2,1789133158.8230252,delta/bbat/box/map50_95,-0.00585461935822873
2,1789133158.8230252,delta/bbat/pose/map50_95,-0.00013433240565896565
2,1789133158.8230252,delta/coco/box/map50_95,0.0
2,1789133158.8230252,delta/coco/person/box/map50_95,0.0
2,1789133158.8230252,passed,0.0
2,1789133158.8230252,score/best_detect,0.5648861534193508
2,1789133158.8230252,score/best_joint,0.7048628618278265
2,1789133158.8230252,score/best_pose,0.7516737263674715
3,1789133380.665384,delta/bbat/ball/box/map50_95,-0.011290113291271053
3,1789133380.665384,delta/bbat/ball/pose/map50_95,-0.0006109216927635552
3,1789133380.665384,delta/bbat/bat/box/map50_95,-0.0036547625191667432
3,1789133380.665384,delta/bbat/bat/pose/map50_95,-0.0019087226777606547
3,1789133380.665384,delta/bbat/box/map50_95,-0.007472437905218898
3,1789133380.665384,delta/bbat/pose/map50_95,-0.001259822185262216
3,1789133380.665384,delta/coco/box/map50_95,0.0
3,1789133380.665384,delta/coco/person/box/map50_95,0.0
3,1789133380.665384,passed,0.0
3,1789133380.665384,score/best_detect,0.5648861534193508
3,1789133380.665384,score/best_joint,0.7040891022065872
3,1789133380.665384,score/best_pose,0.7503020722041749
4,1789133604.4391785,delta/bbat/ball/box/map50_95,-0.00926158844149616
4,1789133604.4391785,delta/bbat/ball/pose/map50_95,-0.0007172300158465594
4,1789133604.4391785,delta/bbat/bat/box/map50_95,-0.004743922240160403
4,1789133604.4391785,delta/bbat/bat/pose/map50_95,-0.0015546617978809962
4,1789133604.4391785,delta/bbat/box/map50_95,-0.007002755340828282
4,1789133604.4391785,delta/bbat/pose/map50_95,-0.0011359459068637223
4,1789133604.4391785,delta/coco/box/map50_95,0.0
4,1789133604.4391785,delta/coco/person/box/map50_95,0.0
4,1789133604.4391785,passed,0.0
4,1789133604.4391785,score/best_detect,0.5648861534193508
4,1789133604.4391785,score/best_joint,0.7042325892308248
4,1789133604.4391785,score/best_pose,0.7505988516255695
