step,time_unix,metric,value
0,1789132017.5574992,images/detect,0.0
0,1789132017.5574992,images/pose,5964.0
0,1789132017.5574992,loss/detect_mean,0.0
0,1789132017.5574992,loss/joint_mean,1.2611741375235566
0,1789132017.5574992,loss/pose_mean,1.2611741375235566
0,1789132017.5574992,macros,373.0
0,1789132017.5574992,passes/detect,0.0
0,1789132017.5574992,passes/pose,1.0
0,1789132017.5574992,pose_wraps,0.0
1,1789132223.063506,images/detect,0.0
1,1789132223.063506,images/pose,5964.0
1,1789132223.063506,loss/detect_mean,0.0
1,1789132223.063506,loss/joint_mean,1.2279766683687228
1,1789132223.063506,loss/pose_mean,1.2279766683687228
1,1789132223.063506,macros,373.0
1,1789132223.063506,passes/detect,0.0
1,1789132223.063506,passes/pose,1.0
1,1789132223.063506,pose_wraps,0.0
