step,time_unix,metric,value
0,1789132147.8156137,delta/bbat/ball/box/map50_95,-0.0024849891719069817
0,1789132147.8156137,delta/bbat/ball/pose/map50_95,-0.0011597092893372851
0,1789132147.8156137,delta/bbat/bat/box/map50_95,-0.002917357744598559
0,1789132147.8156137,delta/bbat/bat/pose/map50_95,0.00021010517702801934
0,1789132147.8156137,delta/bbat/box/map50_95,-0.0027011734582528257
0,1789132147.8156137,delta/bbat/pose/map50_95,-0.0004748020561545774
0,1789132147.8156137,delta/coco/box/map50_95,0.0
0,1789132147.8156137,delta/coco/person/box/map50_95,0.0
0,1789132147.8156137,passed,0.0
0,1789132147.8156137,score/best_detect,0.5648861534193508
0,1789132147.8156137,score/best_joint,0.7053573631476235
0,1789132147.8156137,score/best_pose,0.7530802144922117
