model,backend,metric,value,source
qSiLU E2 one2one,bittrue,coco/box/map50_95,0.5038853044278478,/home/uxin/yolo/yolo_optimize/kd/dual_task_v1/artifacts/student-baseline-v1.json
qSiLU E2 one2one,bittrue,coco/person/box/map50_95,0.6258870024108538,/home/uxin/yolo/yolo_optimize/kd/dual_task_v1/artifacts/student-baseline-v1.json
qSiLU E2 one2one,bittrue,bbat/box/map50_95,0.6180075225276841,/home/uxin/yolo/yolo_optimize/kd/dual_task_v1/artifacts/student-baseline-v1.json
qSiLU E2 one2one,bittrue,bbat/pose/map50_95,0.8913288819711468,/home/uxin/yolo/yolo_optimize/kd/dual_task_v1/artifacts/student-baseline-v1.json
qSiLU E2 one2one,bittrue,bbat/ball/box/map50_95,0.5051924516446623,/home/uxin/yolo/yolo_optimize/kd/dual_task_v1/artifacts/student-baseline-v1.json
qSiLU E2 one2one,bittrue,bbat/ball/pose/map50_95,0.8596494404736988,/home/uxin/yolo/yolo_optimize/kd/dual_task_v1/artifacts/student-baseline-v1.json
qSiLU E2 one2one,bittrue,bbat/bat/box/map50_95,0.7308225934107058,/home/uxin/yolo/yolo_optimize/kd/dual_task_v1/artifacts/student-baseline-v1.json
qSiLU E2 one2one,bittrue,bbat/bat/pose/map50_95,0.9230083234685947,/home/uxin/yolo/yolo_optimize/kd/dual_task_v1/artifacts/student-baseline-v1.json
head KD E2 one2one,bittrue,coco/box/map50_95,0.5038853044278478,/home/uxin/yolo/yolo_optimize/kd/pose_focus_v1/artifacts/direct-kd-result-v1.json
head KD E2 one2one,bittrue,coco/person/box/map50_95,0.6258870024108538,/home/uxin/yolo/yolo_optimize/kd/pose_focus_v1/artifacts/direct-kd-result-v1.json
head KD E2 one2one,bittrue,bbat/box/map50_95,0.6139148838256575,/home/uxin/yolo/yolo_optimize/kd/pose_focus_v1/artifacts/direct-kd-result-v1.json
head KD E2 one2one,bittrue,bbat/pose/map50_95,0.8929616412716737,/home/uxin/yolo/yolo_optimize/kd/pose_focus_v1/artifacts/direct-kd-result-v1.json
head KD E2 one2one,bittrue,bbat/ball/box/map50_95,0.5018791284682648,/home/uxin/yolo/yolo_optimize/kd/pose_focus_v1/artifacts/direct-kd-result-v1.json
head KD E2 one2one,bittrue,bbat/ball/pose/map50_95,0.8617162778857654,/home/uxin/yolo/yolo_optimize/kd/pose_focus_v1/artifacts/direct-kd-result-v1.json
head KD E2 one2one,bittrue,bbat/bat/box/map50_95,0.7259506391830503,/home/uxin/yolo/yolo_optimize/kd/pose_focus_v1/artifacts/direct-kd-result-v1.json
head KD E2 one2one,bittrue,bbat/bat/pose/map50_95,0.9242070046575817,/home/uxin/yolo/yolo_optimize/kd/pose_focus_v1/artifacts/direct-kd-result-v1.json
original boxes + KD keypoints,bittrue,coco/box/map50_95,0.5038853044278478,/home/uxin/yolo/yolo_optimize/inference/pose_branch_v1/artifacts/branch-v2/metrics.json
original boxes + KD keypoints,bittrue,coco/person/box/map50_95,0.6258870024108538,/home/uxin/yolo/yolo_optimize/inference/pose_branch_v1/artifacts/branch-v2/metrics.json
original boxes + KD keypoints,bittrue,bbat/box/map50_95,0.6180075225276841,/home/uxin/yolo/yolo_optimize/inference/pose_branch_v1/artifacts/branch-v2/metrics.json
original boxes + KD keypoints,bittrue,bbat/pose/map50_95,0.8909063268903024,/home/uxin/yolo/yolo_optimize/inference/pose_branch_v1/artifacts/branch-v2/metrics.json
original boxes + KD keypoints,bittrue,bbat/ball/box/map50_95,0.5051924516446623,/home/uxin/yolo/yolo_optimize/inference/pose_branch_v1/artifacts/branch-v2/metrics.json
original boxes + KD keypoints,bittrue,bbat/ball/pose/map50_95,0.8596494404736988,/home/uxin/yolo/yolo_optimize/inference/pose_branch_v1/artifacts/branch-v2/metrics.json
original boxes + KD keypoints,bittrue,bbat/bat/box/map50_95,0.7308225934107058,/home/uxin/yolo/yolo_optimize/inference/pose_branch_v1/artifacts/branch-v2/metrics.json
original boxes + KD keypoints,bittrue,bbat/bat/pose/map50_95,0.9221632133069061,/home/uxin/yolo/yolo_optimize/inference/pose_branch_v1/artifacts/branch-v2/metrics.json
qSiLU E2 one2many Pose only,bittrue,bbat/box/map50_95,0.6189693039421084,/home/uxin/yolo/yolo_optimize/inference/routing_v1/artifacts/one2many-v1/summary.json
qSiLU E2 one2many Pose only,bittrue,bbat/pose/map50_95,0.8994509142228706,/home/uxin/yolo/yolo_optimize/inference/routing_v1/artifacts/one2many-v1/summary.json
qSiLU E2 one2many Pose only,bittrue,bbat/ball/box/map50_95,0.4943484309148728,/home/uxin/yolo/yolo_optimize/inference/routing_v1/artifacts/one2many-v1/summary.json
qSiLU E2 one2many Pose only,bittrue,bbat/ball/pose/map50_95,0.8434508500220789,/home/uxin/yolo/yolo_optimize/inference/routing_v1/artifacts/one2many-v1/summary.json
qSiLU E2 one2many Pose only,bittrue,bbat/bat/box/map50_95,0.7435901769693438,/home/uxin/yolo/yolo_optimize/inference/routing_v1/artifacts/one2many-v1/summary.json
qSiLU E2 one2many Pose only,bittrue,bbat/bat/pose/map50_95,0.9554509784236618,/home/uxin/yolo/yolo_optimize/inference/routing_v1/artifacts/one2many-v1/summary.json
