candidate,baseline,comparison_scope,coco/box/map50_95_delta,coco/person/box/map50_95_delta,bbat/box/map50_95_delta,bbat/pose/map50_95_delta,bbat/ball/pose/map50_95_delta,bbat/bat/pose/map50_95_delta,params_delta,mac_delta,float_flops_delta,gpu_peak_bytes_delta,cpu_ms_delta,gpu_ms_delta,gpu_energy_j_delta,cpu_ms_ratio,gpu_ms_ratio,gpu_energy_j_ratio
a0,fp,歷史模型鏈，非純開關因果,-0.011280701793555004,-0.0039896380020579825,,,,,1012,-40960000,-81920000,34182144,24.331442080438137,16.287136554718018,0.8710987449045273,1.125940929959238,2.7897260341084675,1.246588736858134
b100,a0,歷史模型鏈,-0.0031495726718994144,-0.0026940371647904415,,,,,75777,475136000,950272000,2240512,6.358134327456355,0.2193756103515625,0.036560207724764204,1.0292289448928045,1.0086410915170523,1.0083021639194243
hog_e3,hog_control_e3,相同 E3 部署比較,-0.00031927472132942114,-0.0006357980623225012,,,,,0,0,0,-344064,-8.453440153971314,0.3227043151855469,0.08685897435897516,0.9630976836572757,1.0128272521526247,1.019724985661173
rep_folded_e4,rep_control_e4,相同 E4，RepConv 已折疊,5.16360867672816e-05,0.00014854289245436192,,,,,0,0,0,-344064,-3.033597720786929,0.1234884262084961,0.0960216998191683,0.9864407411231606,1.0048681182709835,1.0216908220453915
p3_shared_e5,p3_control_e5,相同 E5,-0.0003594560497217625,5.9397970714747395e-05,-0.0006679459436511603,,,,75777,475136000,950272000,987136,2.301230328157544,-0.18254375457763672,0.04165822784810125,1.0103586399850568,0.9928430110466674,1.0093806384306885
p3_fork_e5,p3_control_e5,相同 E5,-1.069389417063249e-05,-6.10658484567761e-05,-0.0004990549566307179,,,,75777,475136000,950272000,7529472,0.37562381476163864,-0.025407791137695312,0.029626582278480917,1.0016908137439875,0.9990038372941227,1.0066713413087287
p3_bridge_e8,p3_control_e8,相同 E8，不宣稱獨立增準,-5.513717315586142e-05,-3.532750248880223e-05,9.002579605982275e-05,,,,75777,475136000,950272000,7671808,3.5636501852422953,-0.05951976776123047,0.06550795196364767,1.0162552971473087,0.9976757643832631,1.0148086743921532
p2_e5,p2_control_e5,相同 E5,-0.00014887395308227358,9.925595102067142e-05,-0.00017520018637134926,,,,75777,1900544000,3801088000,2854912,31.210379907861352,0.37046337127685547,0.20589775641025643,1.1382511907609685,1.0146802533871315,1.0469067479384684
j3_joint,old_joint,跨階段取捨,0.006219734822843825,0.006601380715152261,-0.02614375974759031,-0.017646661109414152,-0.004130039174420119,-0.03116328304440852,0,0,0,6091776,-0.31955516897141933,0.03643226623535156,-0.039125056535504577,0.9987448135795217,1.001208038168719,0.9933423947969005
pose_recovery,j3_joint,同架構恢復,0.0,0.0,0.004881153622859902,0.0006761160614254802,-0.0013605937310326999,0.0027128258538839933,0,0,0,0,2.5359364226460457,-0.07993602752685547,0.007945952057892391,1.0099734682506545,0.9973526418230415,1.001361162666977
qsilu_e2,silu_e9,同短訓預算，各臂選定 epoch,-0.0004232653699530742,-0.0008960591357398684,0.005175116935751789,0.0018850207189130552,0.0049362104881433,-0.0011661690503173006,0,0,0,7885312,402.73067774251103,9.487743377685547,2.3466069651741286,2.5822916118423995,1.3144198865832868,1.3994864002791596
dual_kd_e4,qsilu_e2,相對起點，非完整 K0 因果比較,-0.0009306576744954054,-0.0006939018868409308,-0.0042855146303740765,0.0027918603737397962,-0.00014262205450543686,0.005726342801985473,0,0,0,0,7.068300619721413,0.0862884521484375,0.01280392156862753,1.0107542849707507,1.0021755327963493,1.0015575283718223
head_kd_e2,qsilu_e2,相對起點，native 對照取消,0.0,0.0,-0.004092638702026585,0.0016327593005268648,0.002066837412066591,0.0011986811889869164,0,0,0,0,-3.2001694198697805,1.0080490112304688,0.03745098039215655,0.9951310030872289,1.0254152627571387,1.004555710857857
mixed_keypoint,qsilu_e2,推論分支重組,0.0,0.0,0.0,-0.0004225550808444334,0.0,-0.0008451101616886447,0,0,0,0,-9.060623357072473,-0.3297271728515625,0.05870588235294072,0.9862144338735781,0.9916868102216957,1.0071412556588606
qsilu_pose_one2many,qsilu_pose_one2one,Pose core；不含外部 NMS,,,0.0009617814144242676,0.00812203225172381,-0.016198590451619976,0.03244265495506704,0,-4971468800,-9942937600,0,-64.46735607460141,-3.577488899230957,-1.024084350132627,0.8873401741031334,0.8967547140024421,0.852375065719666
