variant,metric,AP50_95_percent,delta_vs_MASF_B5_pp,delta_vs_BinaryQK_E5_pp
native_qk_E2,coco/box/map50_95,50.22148282,0.00000000,-0.30335909
native_qk_E2,coco/person/box/map50_95,62.46251972,0.00000000,-0.15824464
native_qk_E2,bbat/box/map50_95,60.83006909,-0.11724295,-0.02337838
native_qk_E2,bbat/pose/map50_95,88.69435963,-0.21275604,-0.17339132
native_qk_E2,bbat/ball/box/map50_95,49.04377846,0.00848218,-0.26802220
native_qk_E2,bbat/ball/pose/map50_95,84.90478328,-0.41266853,-0.85676119
native_qk_E2,bbat/bat/box/map50_95,72.61635973,-0.24296808,0.22126545
native_qk_E2,bbat/bat/pose/map50_95,92.48393599,-0.01284355,0.50997855
pose_masf_B5,coco/box/map50_95,50.22148282,0.00000000,-0.30335909
pose_masf_B5,coco/person/box/map50_95,62.46251972,0.00000000,-0.15824464
pose_masf_B5,bbat/box/map50_95,60.94731204,0.00000000,0.09386457
pose_masf_B5,bbat/pose/map50_95,88.90711567,0.00000000,0.03936472
pose_masf_B5,bbat/ball/box/map50_95,49.03529628,0.00000000,-0.27650438
pose_masf_B5,bbat/ball/pose/map50_95,85.31745180,0.00000000,-0.44409266
pose_masf_B5,bbat/bat/box/map50_95,72.85932781,0.00000000,0.46423353
pose_masf_B5,bbat/bat/pose/map50_95,92.49677953,0.00000000,0.52282210
binaryqk_E5,coco/box/map50_95,50.52484191,0.30335909,0.00000000
binaryqk_E5,coco/person/box/map50_95,62.62076437,0.15824464,0.00000000
binaryqk_E5,bbat/box/map50_95,60.85344747,-0.09386457,0.00000000
binaryqk_E5,bbat/pose/map50_95,88.86775095,-0.03936472,0.00000000
binaryqk_E5,bbat/ball/box/map50_95,49.31180066,0.27650438,0.00000000
binaryqk_E5,bbat/ball/pose/map50_95,85.76154446,0.44409266,0.00000000
binaryqk_E5,bbat/bat/box/map50_95,72.39509428,-0.46423353,0.00000000
binaryqk_E5,bbat/bat/pose/map50_95,91.97395744,-0.52282210,0.00000000
rep17_E5,coco/box/map50_95,50.55835593,0.33687311,0.03351402
rep17_E5,coco/person/box/map50_95,62.71912991,0.25661019,0.09836554
rep17_E5,bbat/box/map50_95,60.92422650,-0.02308554,0.07077903
rep17_E5,bbat/pose/map50_95,89.01208424,0.10496857,0.14433329
rep17_E5,bbat/ball/box/map50_95,49.27846528,0.24316900,-0.03333538
rep17_E5,bbat/ball/pose/map50_95,85.79111458,0.47366278,0.02957012
rep17_E5,bbat/bat/box/map50_95,72.56998773,-0.28934008,0.17489345
rep17_E5,bbat/bat/pose/map50_95,92.23305390,-0.26372564,0.25909646
rep20_E5,coco/box/map50_95,50.59172789,0.37024507,0.06688599
rep20_E5,coco/person/box/map50_95,62.70986410,0.24734438,0.08909974
rep20_E5,bbat/box/map50_95,60.83433920,-0.11297284,-0.01910827
rep20_E5,bbat/pose/map50_95,88.79082787,-0.11628780,-0.07692308
rep20_E5,bbat/ball/box/map50_95,49.17740718,0.14211090,-0.13439348
rep20_E5,bbat/ball/pose/map50_95,85.52225630,0.20480450,-0.23928816
rep20_E5,bbat/bat/box/map50_95,72.49127122,-0.36805659,0.09617694
rep20_E5,bbat/bat/pose/map50_95,92.05939944,-0.43738009,0.08544200
rep17_20_E5,coco/box/map50_95,50.61809785,0.39661503,0.09325594
rep17_20_E5,coco/person/box/map50_95,62.67502677,0.21250705,0.05426241
rep17_20_E5,bbat/box/map50_95,60.89828624,-0.04902580,0.04483878
rep17_20_E5,bbat/pose/map50_95,88.85824250,-0.04887317,-0.00950846
rep17_20_E5,bbat/ball/box/map50_95,49.21506761,0.17977134,-0.09673305
rep17_20_E5,bbat/ball/pose/map50_95,85.45877030,0.14131849,-0.30277417
rep17_20_E5,bbat/bat/box/map50_95,72.58150488,-0.27782293,0.18641060
rep17_20_E5,bbat/bat/pose/map50_95,92.25771470,-0.23906484,0.28375726
