epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1505.98,1.0094,1.20151,1.13438,0.61387,0.50112,0.53334,0.37385,1.11724,1.29987,1.19513,0.00999924,0.00333308,0.00999924,0.00333308,0.00999924,0.00333308,0.00999924,0.00333308
2,2701.72,1.21751,1.68958,1.27611,0.61691,0.48817,0.52518,0.37389,1.10339,1.32294,1.21156,0.0198012,0.00660042,0.0198012,0.00660042,0.0198012,0.00660042,0.0198012,0.00660042
3,3815.9,1.25904,1.84726,1.33032,0.60627,0.4805,0.51029,0.36356,1.10481,1.38725,1.23509,0.0294053,0.00980175,0.0294053,0.00980175,0.0294053,0.00980175,0.0294053,0.00980175
4,4906.5,1.23976,1.81634,1.33107,0.62381,0.47171,0.51558,0.37035,1.09267,1.42247,1.2355,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,5997.01,1.18292,1.66269,1.29362,0.63338,0.4909,0.53773,0.38926,1.0709,1.3688,1.22211,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,7088.15,1.15203,1.58081,1.27324,0.64172,0.50421,0.54981,0.39998,1.05909,1.34468,1.21478,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,8177.4,1.13238,1.53197,1.26387,0.64211,0.51158,0.55703,0.40694,1.05009,1.32941,1.21011,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,9268.71,1.12092,1.4968,1.25516,0.64502,0.51744,0.5638,0.41227,1.04336,1.3175,1.20656,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,10361,1.10965,1.4692,1.24814,0.65131,0.52397,0.56898,0.41678,1.0367,1.30573,1.20247,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,11452.3,1.1021,1.4482,1.24429,0.66868,0.52063,0.57416,0.42166,1.0303,1.28829,1.19808,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,12542.6,1.09548,1.43224,1.24106,0.66997,0.52582,0.57981,0.42645,1.02441,1.26815,1.1937,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,13635.4,1.0904,1.41952,1.23885,0.67556,0.5318,0.58636,0.43155,1.01832,1.24503,1.18887,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,14727.5,1.08736,1.40882,1.23674,0.67253,0.54145,0.59205,0.43662,1.01314,1.22277,1.18527,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,15819.8,1.08274,1.39586,1.23291,0.6751,0.54776,0.59787,0.4412,1.00792,1.20108,1.18138,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,16911.7,1.07969,1.38908,1.23292,0.68031,0.55122,0.60248,0.44497,1.00306,1.18097,1.1776,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,18005.1,1.07706,1.38354,1.23108,0.68041,0.55614,0.6071,0.44866,0.99961,1.16392,1.17456,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,19097.9,1.07669,1.3744,1.23086,0.68462,0.55681,0.61135,0.45268,0.99623,1.14893,1.172,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,20190,1.07338,1.36997,1.22947,0.6903,0.5585,0.61566,0.45571,0.99361,1.1361,1.17008,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,21283,1.06976,1.3624,1.22791,0.69467,0.55883,0.61781,0.45799,0.99111,1.12434,1.16817,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,22375,1.06826,1.35578,1.22827,0.69159,0.56391,0.62142,0.46057,0.98878,1.11447,1.16693,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,23467.3,1.06697,1.3538,1.22675,0.6875,0.56862,0.62383,0.46212,0.98726,1.10503,1.1662,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,24557.9,1.06438,1.34794,1.22674,0.68615,0.57164,0.62535,0.46403,0.98577,1.09769,1.16567,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,25651.5,1.06173,1.34203,1.22502,0.69005,0.57549,0.62778,0.46566,0.98412,1.09079,1.16457,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,26745.4,1.06095,1.33971,1.22488,0.69178,0.57606,0.62974,0.46696,0.98341,1.08529,1.1649,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,27837.8,1.05919,1.33368,1.22419,0.69472,0.57592,0.6318,0.46896,0.98313,1.08071,1.16529,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,28931.9,1.05824,1.33014,1.22458,0.69598,0.57859,0.63404,0.47057,0.98175,1.07556,1.16482,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,30026,1.05729,1.3242,1.22395,0.70138,0.57841,0.6356,0.47179,0.98088,1.07174,1.16491,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,31120,1.05555,1.32426,1.22262,0.70149,0.57718,0.63735,0.47329,0.97955,1.06755,1.1647,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,32214.2,1.05407,1.31637,1.22176,0.69935,0.58188,0.63952,0.47489,0.97832,1.06374,1.16439,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,33309.9,1.05312,1.31509,1.2215,0.70156,0.58278,0.64107,0.47571,0.97758,1.05952,1.16439,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,34403.2,1.04906,1.30979,1.21939,0.70553,0.58262,0.64199,0.47612,0.97627,1.05619,1.16412,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,35496.3,1.04984,1.30574,1.21958,0.70698,0.58078,0.64271,0.47702,0.97551,1.0537,1.16395,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,36590.4,1.04675,1.30295,1.21852,0.70826,0.58235,0.64419,0.47799,0.97435,1.05167,1.16373,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,37684.2,1.04667,1.30044,1.21751,0.70415,0.58531,0.64515,0.4789,0.97379,1.04925,1.16383,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,38778.9,1.04384,1.29449,1.21709,0.70547,0.58496,0.64651,0.47976,0.97315,1.04757,1.16371,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,39872.4,1.04414,1.29284,1.21765,0.71195,0.58087,0.64666,0.48028,0.97205,1.04586,1.16358,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,40966.1,1.04036,1.28431,1.2148,0.71411,0.58328,0.64763,0.48081,0.97137,1.04362,1.1635,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,42060.2,1.04019,1.28178,1.21584,0.71258,0.58515,0.64853,0.4812,0.97146,1.04196,1.1642,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,43153.6,1.0385,1.27685,1.21348,0.71619,0.58331,0.6498,0.48267,0.9707,1.0397,1.1639,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,44248.5,1.03735,1.27398,1.21303,0.71238,0.58684,0.6508,0.48293,0.97019,1.03801,1.16385,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,45342.3,1.03675,1.2725,1.21327,0.71581,0.58565,0.65187,0.48345,0.97025,1.03646,1.16428,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,46435.8,1.03446,1.26692,1.21085,0.71247,0.58831,0.65276,0.48433,0.96952,1.03498,1.16391,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,47528.5,1.03322,1.2629,1.21127,0.70636,0.59435,0.65338,0.48476,0.96915,1.03303,1.16364,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,48621.3,1.03183,1.25611,1.21131,0.70707,0.59413,0.65366,0.48572,0.96798,1.03116,1.16351,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,49714.9,1.03061,1.25426,1.21066,0.70709,0.59595,0.65431,0.48629,0.96712,1.03,1.16348,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,50807.9,1.02887,1.2512,1.20869,0.70485,0.59814,0.65428,0.48726,0.96663,1.02912,1.16328,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,51903.3,1.02673,1.24718,1.20621,0.71248,0.59523,0.65564,0.48812,0.96644,1.02677,1.16323,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,52997.5,1.02544,1.24352,1.20746,0.71047,0.59766,0.65606,0.48864,0.96571,1.02509,1.16314,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,54091.7,1.02334,1.23686,1.20511,0.70735,0.59924,0.65609,0.48883,0.96444,1.02302,1.16246,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,55186.6,1.02211,1.23332,1.20475,0.70511,0.59907,0.65677,0.48889,0.96387,1.02209,1.16202,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,56281.1,1.021,1.23102,1.20333,0.70696,0.59851,0.65682,0.48884,0.96327,1.02072,1.16165,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,57375.9,1.01962,1.22338,1.20274,0.70358,0.60129,0.65623,0.48877,0.96241,1.01899,1.16106,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,58468.9,1.01647,1.22152,1.20104,0.70843,0.59948,0.65725,0.4897,0.96261,1.01837,1.16104,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,59563,1.01482,1.21685,1.20186,0.70968,0.59808,0.65877,0.49061,0.96211,1.01657,1.16092,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,60657.2,1.01193,1.21064,1.19934,0.71011,0.59878,0.65778,0.49041,0.96253,1.01559,1.16109,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,61753.1,1.01276,1.20757,1.19868,0.71296,0.59913,0.65817,0.491,0.96167,1.01364,1.16077,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,62847.4,1.00857,1.20231,1.19758,0.71678,0.59775,0.65919,0.49175,0.9613,1.01178,1.16091,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,63943.8,1.0091,1.19715,1.19794,0.71436,0.60023,0.6596,0.49206,0.96058,1.01101,1.16057,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,65037.8,1.00771,1.19162,1.19651,0.71256,0.60306,0.66034,0.49192,0.95951,1.00976,1.15971,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,66133.1,1.0047,1.18806,1.19423,0.71122,0.60483,0.66078,0.49252,0.95956,1.00844,1.15987,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,67227.6,1.00253,1.18452,1.19302,0.70848,0.60745,0.6623,0.49345,0.95844,1.00759,1.1593,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,68322,1.00174,1.17919,1.19248,0.71619,0.60482,0.66238,0.49447,0.95775,1.00593,1.15878,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,69416.2,0.99877,1.17239,1.19068,0.71422,0.60484,0.66333,0.49495,0.95694,1.00465,1.15855,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,70511.9,0.99849,1.16711,1.18941,0.71864,0.60281,0.66466,0.49619,0.95618,1.0032,1.15801,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,71605.7,0.99385,1.16496,1.18756,0.71032,0.60722,0.66559,0.49669,0.95591,1.00132,1.15777,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,1115.57,0.9771,1.11864,1.17442,0.70924,0.61099,0.66679,0.4986,0.9543,0.99822,1.15599,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,2209.98,0.98624,1.13356,1.17968,0.71496,0.60895,0.66778,0.49928,0.95335,0.9956,1.15501,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,3303.76,0.98433,1.13676,1.18018,0.71244,0.60901,0.66783,0.49909,0.95274,0.99393,1.15443,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,4398.44,0.98334,1.13313,1.17843,0.71623,0.6105,0.66876,0.50021,0.95218,0.99269,1.15375,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,5493.2,0.98208,1.12718,1.17845,0.71575,0.60996,0.66882,0.49948,0.9522,0.99163,1.15382,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,1108.77,0.94765,1.04179,1.15445,0.70844,0.61804,0.66962,0.50024,0.95204,0.98995,1.15333,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,2195.35,0.96323,1.07382,1.16543,0.70595,0.61946,0.66958,0.50025,0.95225,0.98956,1.15359,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3285.5,0.96677,1.08755,1.16901,0.70331,0.62073,0.6694,0.49955,0.95264,0.98917,1.15398,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,4373.88,0.96943,1.09393,1.17005,0.70948,0.61776,0.66981,0.49965,0.95222,0.9885,1.15371,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,5462.64,0.97075,1.09561,1.1701,0.71608,0.61478,0.66996,0.49979,0.95219,0.98756,1.15347,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,6549.82,0.96945,1.09445,1.16879,0.72137,0.61299,0.67033,0.50033,0.951,0.98686,1.15217,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,7637.34,0.96647,1.08961,1.16725,0.72016,0.61269,0.67093,0.50142,0.95024,0.9869,1.1512,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,8726.11,0.96559,1.08226,1.16616,0.7181,0.61577,0.67147,0.50211,0.9495,0.98611,1.15056,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,9812.7,0.96165,1.0747,1.16403,0.72633,0.61,0.67184,0.50236,0.94897,0.9857,1.15019,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,10900,0.95908,1.06803,1.16429,0.72479,0.61261,0.67271,0.50301,0.94876,0.98489,1.15011,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,11987.2,0.95626,1.06193,1.16109,0.72263,0.61349,0.6733,0.50332,0.94851,0.98381,1.14957,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,13075.9,0.95325,1.05464,1.16156,0.72434,0.61401,0.67391,0.50357,0.94842,0.9831,1.14957,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,14162.8,0.95136,1.04709,1.1582,0.72258,0.61491,0.67502,0.50413,0.94748,0.98211,1.14905,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,15249.7,0.94748,1.03663,1.15377,0.72429,0.61579,0.67584,0.50443,0.94629,0.98112,1.14816,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,16337.8,0.94535,1.03113,1.15456,0.7151,0.62066,0.67595,0.50497,0.94571,0.98051,1.14771,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,17426.8,0.94215,1.02424,1.15157,0.71501,0.6252,0.67687,0.50564,0.94524,0.9804,1.14722,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,18514.6,0.94048,1.01468,1.14952,0.72762,0.61745,0.67659,0.50591,0.94514,0.9804,1.1468,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,19601.5,0.9371,1.00617,1.14673,0.71932,0.62168,0.67638,0.50584,0.94406,0.97924,1.14578,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,20688.2,0.93184,0.99638,1.14274,0.71505,0.62299,0.67611,0.50624,0.94396,0.97897,1.14501,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,21777.3,0.92955,0.98749,1.14269,0.7176,0.61666,0.67559,0.50552,0.94357,0.97852,1.14447,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,22851.9,0.92059,0.89899,1.14076,0.71748,0.61662,0.67487,0.50521,0.94339,0.97911,1.14501,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,23926.3,0.91443,0.88276,1.1383,0.71942,0.61881,0.67505,0.50543,0.94394,0.97972,1.14624,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,25000,0.90857,0.86789,1.13248,0.71987,0.61818,0.67437,0.50493,0.94427,0.9813,1.14667,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,26075.1,0.9036,0.85539,1.13091,0.7242,0.61485,0.67418,0.50476,0.94487,0.98268,1.14767,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,27149.7,0.89685,0.84167,1.12724,0.7221,0.61824,0.67412,0.50451,0.94562,0.98373,1.14881,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,28223.4,0.89134,0.82751,1.12368,0.71853,0.61763,0.6735,0.5036,0.9464,0.98487,1.15002,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,29298.5,0.88586,0.81436,1.11714,0.72468,0.6149,0.67156,0.50242,0.94759,0.98644,1.15088,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,30372.6,0.88068,0.80157,1.11382,0.71819,0.61874,0.67091,0.50144,0.94884,0.9881,1.152,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,31447.6,0.87666,0.79022,1.11185,0.71593,0.61983,0.66954,0.50038,0.95022,0.99037,1.15322,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,32521.2,0.86969,0.77722,1.10927,0.71516,0.62043,0.6684,0.49948,0.95145,0.99219,1.15452,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
