epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1518.87,0.92218,0.98561,1.07322,0.69466,0.6141,0.65958,0.48998,0.96564,1.01536,1.0865,0.000999924,0.000333308,0.000999924,0.000333308,0.0676691,0.0670025,0.000999924,0.000333308
2,2716.49,0.9461,1.03079,1.0922,0.68809,0.61915,0.66043,0.49225,0.96323,1.0114,1.0911,0.00197517,0.000658392,0.00197517,0.000658392,0.035311,0.0339943,0.00197517,0.000658392
3,3832.6,0.98528,1.13974,1.12571,0.70744,0.60947,0.66137,0.49335,0.96143,1.0063,1.1003,0.00292568,0.000975225,0.00292568,0.000975225,0.00292821,0.000977761,0.00292568,0.000975225
4,4925.64,1.02315,1.2424,1.15937,0.68977,0.61414,0.65806,0.49091,0.96225,1.01355,1.1077,0.00288863,0.000962875,0.00288863,0.000962875,0.00288863,0.000962875,0.00288863,0.000962875
5,6019.43,1.01996,1.23239,1.15996,0.70299,0.60297,0.66084,0.49354,0.96126,1.00964,1.10924,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
6,7112.51,1.01287,1.21539,1.15797,0.69912,0.60624,0.66221,0.49452,0.95849,1.00501,1.10952,0.00281438,0.000938125,0.00281438,0.000938125,0.00281438,0.000938125,0.00281438,0.000938125
7,8206.56,1.00707,1.20114,1.15546,0.71037,0.61036,0.66317,0.49516,0.95639,1.00085,1.10863,0.00277725,0.00092575,0.00277725,0.00092575,0.00277725,0.00092575,0.00277725,0.00092575
8,9299.92,1.00261,1.18773,1.15273,0.71776,0.60748,0.66541,0.49716,0.95417,0.99719,1.10758,0.00274012,0.000913375,0.00274012,0.000913375,0.00274012,0.000913375,0.00274012,0.000913375
9,10393,0.9967,1.17198,1.14902,0.71676,0.60895,0.6669,0.49863,0.95262,0.99438,1.10703,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
10,11486.5,0.99271,1.16249,1.14806,0.70203,0.61254,0.66784,0.49938,0.95147,0.99295,1.10675,0.00266587,0.000888625,0.00266587,0.000888625,0.00266587,0.000888625,0.00266587,0.000888625
11,12580.3,0.98821,1.14976,1.14402,0.70226,0.61461,0.66853,0.50047,0.95001,0.99166,1.10629,0.00262875,0.00087625,0.00262875,0.00087625,0.00262875,0.00087625,0.00262875,0.00087625
12,13674.7,0.98451,1.14076,1.14202,0.70633,0.61038,0.66955,0.50161,0.94877,0.98937,1.10575,0.00259163,0.000863875,0.00259163,0.000863875,0.00259163,0.000863875,0.00259163,0.000863875
13,14770.2,0.98214,1.13165,1.14013,0.70259,0.61658,0.67016,0.502,0.94791,0.98764,1.10558,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
14,15863.1,0.97786,1.12001,1.13761,0.71037,0.61203,0.6716,0.50277,0.947,0.98601,1.10529,0.00251738,0.000839125,0.00251738,0.000839125,0.00251738,0.000839125,0.00251738,0.000839125
15,16956.4,0.97475,1.11251,1.13652,0.71412,0.61215,0.67298,0.50416,0.94647,0.98396,1.10515,0.00248025,0.00082675,0.00248025,0.00082675,0.00248025,0.00082675,0.00248025,0.00082675
16,18049.9,0.97297,1.10701,1.13507,0.71615,0.61686,0.67554,0.50553,0.94595,0.98284,1.10454,0.00244312,0.000814375,0.00244312,0.000814375,0.00244312,0.000814375,0.00244312,0.000814375
17,19142.5,0.97142,1.09765,1.13349,0.70868,0.61663,0.67533,0.50588,0.94479,0.98145,1.1039,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
18,20236.8,0.9684,1.09138,1.13229,0.71426,0.61646,0.67577,0.50592,0.94477,0.98003,1.104,0.00236888,0.000789625,0.00236888,0.000789625,0.00236888,0.000789625,0.00236888,0.000789625
19,21331.3,0.9631,1.08211,1.12984,0.72445,0.61469,0.67602,0.50622,0.94459,0.97868,1.10396,0.00233175,0.00077725,0.00233175,0.00077725,0.00233175,0.00077725,0.00233175,0.00077725
20,22426.5,0.96235,1.07671,1.12872,0.72823,0.61557,0.67703,0.50735,0.94434,0.97675,1.10395,0.00229462,0.000764875,0.00229462,0.000764875,0.00229462,0.000764875,0.00229462,0.000764875
21,23520.2,0.9599,1.07036,1.12646,0.72426,0.61998,0.67797,0.50787,0.94392,0.97585,1.1034,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525
22,24613.5,0.95739,1.06435,1.1251,0.72542,0.62057,0.67769,0.50796,0.9436,0.97379,1.10314,0.00222038,0.000740125,0.00222038,0.000740125,0.00222038,0.000740125,0.00222038,0.000740125
23,25707.5,0.95351,1.05698,1.12226,0.72649,0.62131,0.67801,0.50827,0.94341,0.97205,1.10274,0.00218325,0.00072775,0.00218325,0.00072775,0.00218325,0.00072775,0.00218325,0.00072775
24,26801.3,0.95297,1.05362,1.12263,0.73026,0.61845,0.67881,0.50843,0.94344,0.97112,1.10295,0.00214613,0.000715375,0.00214613,0.000715375,0.00214613,0.000715375,0.00214613,0.000715375
25,27895.6,0.9507,1.04667,1.1211,0.73038,0.61798,0.67925,0.50884,0.94342,0.97016,1.10321,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
26,28989.4,0.94862,1.04196,1.12005,0.72439,0.61987,0.67918,0.50885,0.94333,0.9688,1.10331,0.00207188,0.000690625,0.00207188,0.000690625,0.00207188,0.000690625,0.00207188,0.000690625
27,30082.5,0.94689,1.035,1.11708,0.72274,0.62047,0.67906,0.50872,0.94297,0.96761,1.10277,0.00203475,0.00067825,0.00203475,0.00067825,0.00203475,0.00067825,0.00203475,0.00067825
28,31177.3,0.94609,1.03294,1.11699,0.71837,0.62278,0.67942,0.50942,0.94286,0.96676,1.1027,0.00199762,0.000665875,0.00199762,0.000665875,0.00199762,0.000665875,0.00199762,0.000665875
29,32272.6,0.94338,1.02531,1.11444,0.716,0.62348,0.68012,0.51008,0.94226,0.96594,1.10213,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
30,33366.8,0.94207,1.02164,1.11521,0.71821,0.6215,0.6803,0.51044,0.94151,0.96515,1.10204,0.00192337,0.000641125,0.00192337,0.000641125,0.00192337,0.000641125,0.00192337,0.000641125
31,34460.8,0.93929,1.01562,1.11336,0.72679,0.6203,0.68192,0.51091,0.94054,0.96462,1.10146,0.00188625,0.00062875,0.00188625,0.00062875,0.00188625,0.00062875,0.00188625,0.00062875
32,35553.6,0.93825,1.01165,1.11234,0.71892,0.62457,0.68249,0.51125,0.94043,0.96394,1.10153,0.00184913,0.000616375,0.00184913,0.000616375,0.00184913,0.000616375,0.00184913,0.000616375
33,36654.7,0.93518,1.00728,1.1107,0.705,0.63448,0.68236,0.51098,0.94005,0.96465,1.10132,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
34,37748.6,0.9344,1.0015,1.1079,0.71446,0.62839,0.6821,0.51104,0.94029,0.96476,1.10122,0.00177488,0.000591625,0.00177488,0.000591625,0.00177488,0.000591625,0.00177488,0.000591625
35,38857.4,0.93241,0.99746,1.10813,0.71845,0.6265,0.68108,0.51077,0.94021,0.96465,1.10104,0.00173775,0.00057925,0.00173775,0.00057925,0.00173775,0.00057925,0.00173775,0.00057925
36,39951.2,0.93134,0.99386,1.10734,0.71841,0.62775,0.68188,0.5111,0.93987,0.96382,1.10082,0.00170063,0.000566875,0.00170063,0.000566875,0.00170063,0.000566875,0.00170063,0.000566875
37,41045.6,0.92834,0.98601,1.10281,0.70569,0.63701,0.68252,0.51112,0.94027,0.96324,1.10078,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
38,42138.9,0.9274,0.98174,1.10297,0.71249,0.63384,0.68251,0.51158,0.94013,0.96282,1.10067,0.00162637,0.000542125,0.00162637,0.000542125,0.00162637,0.000542125,0.00162637,0.000542125
39,43234.1,0.92672,0.9797,1.10341,0.7179,0.62966,0.68293,0.51214,0.94043,0.96258,1.101,0.00158925,0.00052975,0.00158925,0.00052975,0.00158925,0.00052975,0.00158925,0.00052975
40,44327.6,0.9244,0.97516,1.10203,0.71958,0.63114,0.68312,0.5119,0.9408,0.96259,1.10117,0.00155212,0.000517375,0.00155212,0.000517375,0.00155212,0.000517375,0.00155212,0.000517375
