phase,candidate,decision,worst_total_map50_delta,worst_total_map50_95_delta,worst_incremental_map50_delta,worst_incremental_map50_95_delta
special,special-backbone-exact-ternary,reject,-0.9930069118469215,-0.9933354379719592,-0.9914804123603872,-0.9914623958485448
special,special-backbone-fixed-sd4,recover,-0.038357953708263004,-0.054147946663141544,-0.02678186644350744,-0.04825549100424531
special,special-backbone-paper-twn-v2,reject,-0.9940783404183501,-0.9940783404183501,-0.9925518409318158,-0.9922052982949356
special,special-backbone-twn-v3,reject,-0.9940783404183501,-0.9940783404183501,-0.9925518409318158,-0.9922052982949356
special,special-head-exact-ternary,reject,-0.09631003061173882,-0.15302154211773278,-0.10588628202213979,-0.1519420036770871
special,special-head-fixed-sd4,recover,-0.024785089510672265,-0.0410206956407283,-0.013209002245916701,-0.03022348575064404
special,special-head-paper-twn-v2,reject,-0.06110147951700651,-0.1227891944972529,-0.07067773092740748,-0.12170965605660722
special,special-head-twn-v3,recover,-0.020029997641681896,-0.03808621309909688,-0.014430257679968861,-0.030045835892574813
special,special-neck-exact-ternary,reject,-0.11211493005103945,-0.13056755493764077,-0.10053884278628389,-0.1174366503951697
special,special-neck-fixed-sd4,recover,-0.01657428551666207,-0.04052799407949137,-0.006374525791825736,-0.02973078418940711
special,special-neck-paper-twn-v2,reject,-0.14203549554455885,-0.1493259069775671,-0.1304594082798033,-0.13619500243509602
special,special-neck-twn-v3,recover,-0.021238349138774093,-0.04115399259593955,-0.011065012386901274,-0.03035678270585529
uniform,uniform-backbone-w4,reject,-0.949775625563223,-0.9634613628485844,-0.9482491260766888,-0.96158832072517
uniform,uniform-backbone-w5,reject,-0.46931029504321564,-0.4595641647878601,-0.4788865464536166,-0.47010923146990213
uniform,uniform-backbone-w6,reject,-0.10133459748414786,-0.15488825506393444,-0.11187966416619,-0.15380871662328877
uniform,uniform-backbone-w7,reject,-0.044639835004601225,-0.08051854388651947,-0.03306374773984566,-0.07943900544587379
uniform,uniform-head-w4,reject,-0.04185693081300046,-0.07144863144007907,-0.030280843548244896,-0.07036909299943339
uniform,uniform-head-w5,reject,-0.04338920036890059,-0.06865650860782224,-0.03181311310414503,-0.06757697016717656
uniform,uniform-head-w6,reject,-0.04263270157173937,-0.07715455681065453,-0.03105661430698381,-0.07607501837000885
uniform,uniform-head-w7,reject,-0.04247808738303016,-0.07550856006911533,-0.030902000118274597,-0.07442902162846965
uniform,uniform-neck-w4,reject,-0.04839623619161404,-0.08224102423686375,-0.036820148926858476,-0.08116148579621807
uniform,uniform-neck-w5,reject,-0.041856892512783794,-0.07301764477106187,-0.03028080524802823,-0.0719381063304162
uniform,uniform-neck-w6,reject,-0.043794397406597185,-0.0769839682544664,-0.03221831014184162,-0.07590442981382073
uniform,uniform-neck-w7,reject,-0.04353331119944148,-0.07079324915919327,-0.03195722393468592,-0.0697137107185476
final,final-full-coverage-policy,reject,-0.04249470633750152,-0.06903257684883701,-0.030918619072745956,-0.06795303840819134
