elements,encoded_bits,format_id,path,region
1728,8,w8,graph.model.0.conv,backbone_early
73728,8,w8,graph.model.1.conv,backbone_early
16384,8,w8,graph.model.2.cv1.conv,backbone_early
49152,8,w8,graph.model.2.cv2.conv,backbone_early
2048,8,w8,graph.model.2.m.0.cv1.conv,backbone_early
2048,8,w8,graph.model.2.m.0.cv2.conv,backbone_early
4096,8,w8,graph.model.2.m.0.cv3.conv,backbone_early
9216,8,w8,graph.model.2.m.0.m.0.cv1.conv,backbone_early
9216,8,w8,graph.model.2.m.0.m.0.cv2.conv,backbone_early
9216,8,w8,graph.model.2.m.0.m.1.cv1.conv,backbone_early
9216,8,w8,graph.model.2.m.0.m.1.cv2.conv,backbone_early
589824,8,w8,graph.model.3.conv,backbone_early
65536,8,w8,graph.model.4.cv1.conv,backbone_early
196608,8,w8,graph.model.4.cv2.conv,backbone_early
8192,8,w8,graph.model.4.m.0.cv1.conv,backbone_early
8192,8,w8,graph.model.4.m.0.cv2.conv,backbone_early
16384,8,w8,graph.model.4.m.0.cv3.conv,backbone_early
36864,8,w8,graph.model.4.m.0.m.0.cv1.conv,backbone_early
36864,8,w8,graph.model.4.m.0.m.0.cv2.conv,backbone_early
36864,8,w8,graph.model.4.m.0.m.1.cv1.conv,backbone_early
36864,8,w8,graph.model.4.m.0.m.1.cv2.conv,backbone_early
2359296,8,w8,graph.model.5.conv,backbone_deep
262144,8,w8,graph.model.6.cv1.conv,backbone_deep
393216,8,w8,graph.model.6.cv2.conv,backbone_deep
32768,8,w8,graph.model.6.m.0.cv1.conv,backbone_deep
32768,8,w8,graph.model.6.m.0.cv2.conv,backbone_deep
65536,8,w8,graph.model.6.m.0.cv3.conv,backbone_deep
147456,8,w8,graph.model.6.m.0.m.0.cv1.conv,backbone_deep
147456,8,w8,graph.model.6.m.0.m.0.cv2.conv,backbone_deep
147456,8,w8,graph.model.6.m.0.m.1.cv1.conv,backbone_deep
147456,8,w8,graph.model.6.m.0.m.1.cv2.conv,backbone_deep
2359296,4,fixed-sd4,graph.model.7.conv,backbone_deep
262144,8,w8,graph.model.8.cv1.conv,backbone_deep
393216,8,w8,graph.model.8.cv2.conv,backbone_deep
32768,8,w8,graph.model.8.m.0.cv1.conv,backbone_deep
32768,8,w8,graph.model.8.m.0.cv2.conv,backbone_deep
65536,8,w8,graph.model.8.m.0.cv3.conv,backbone_deep
147456,8,w8,graph.model.8.m.0.m.0.cv1.conv,backbone_deep
147456,8,w8,graph.model.8.m.0.m.0.cv2.conv,backbone_deep
147456,8,w8,graph.model.8.m.0.m.1.cv1.conv,backbone_deep
147456,8,w8,graph.model.8.m.0.m.1.cv2.conv,backbone_deep
131072,8,w8,graph.model.9.cv1.conv,backbone_deep
524288,8,w8,graph.model.9.cv2.conv,backbone_deep
262144,8,w8,graph.model.10.cv1.conv,backbone_attention_safe
262144,8,w8,graph.model.10.cv2.conv,backbone_attention_safe
65536,8,w8,graph.model.10.m.0.attn.qkv.v.conv,backbone_attention_safe
2304,8,w8,graph.model.10.m.0.attn.pe.conv,backbone_attention_safe
65536,8,w8,graph.model.10.m.0.attn.proj.conv,backbone_attention_safe
131072,8,w8,graph.model.10.m.0.ffn.0.conv,backbone_attention_safe
131072,8,w8,graph.model.10.m.0.ffn.1.conv,backbone_attention_safe
524288,8,w8,graph.model.13.cv1.conv,neck
393216,8,w8,graph.model.13.cv2.conv,neck
32768,8,w8,graph.model.13.m.0.cv1.conv,neck
32768,8,w8,graph.model.13.m.0.cv2.conv,neck
65536,8,w8,graph.model.13.m.0.cv3.conv,neck
147456,8,w8,graph.model.13.m.0.m.0.cv1.conv,neck
147456,8,w8,graph.model.13.m.0.m.0.cv2.conv,neck
147456,8,w8,graph.model.13.m.0.m.1.cv1.conv,neck
147456,8,w8,graph.model.13.m.0.m.1.cv2.conv,neck
262144,8,w8,graph.model.16.cv1.conv,neck
98304,8,w8,graph.model.16.cv2.conv,neck
8192,8,w8,graph.model.16.m.0.cv1.conv,neck
8192,8,w8,graph.model.16.m.0.cv2.conv,neck
16384,4,fixed-sd4,graph.model.16.m.0.cv3.conv,neck
36864,8,w8,graph.model.16.m.0.m.0.cv1.conv,neck
36864,8,w8,graph.model.16.m.0.m.0.cv2.conv,neck
36864,8,w8,graph.model.16.m.0.m.1.cv1.conv,neck
36864,8,w8,graph.model.16.m.0.m.1.cv2.conv,neck
2304,4,fixed-sd4,graph.model.16.p3_masf.context.dw3.conv,masf
6400,4,fixed-sd4,graph.model.16.p3_masf.context.dw5.conv,masf
65536,8,w8,graph.model.16.p3_masf.context.project.conv,masf
589824,8,w8,graph.model.17.conv,neck
393216,8,w8,graph.model.19.cv1.conv,neck
393216,8,w8,graph.model.19.cv2.conv,neck
32768,8,w8,graph.model.19.m.0.cv1.conv,neck
32768,8,w8,graph.model.19.m.0.cv2.conv,neck
65536,8,w8,graph.model.19.m.0.cv3.conv,neck
147456,8,w8,graph.model.19.m.0.m.0.cv1.conv,neck
147456,8,w8,graph.model.19.m.0.m.0.cv2.conv,neck
147456,8,w8,graph.model.19.m.0.m.1.cv1.conv,neck
147456,8,w8,graph.model.19.m.0.m.1.cv2.conv,neck
2359296,6,w6,graph.model.20.conv,neck
524288,8,w8,graph.model.22.cv1.conv,neck
393216,8,w8,graph.model.22.cv2.conv,neck
294912,8,w8,graph.model.22.m.0.0.cv1.conv,neck
294912,8,w8,graph.model.22.m.0.0.cv2.conv,neck
65536,4,fixed-sd4,graph.model.22.m.0.1.attn.qkv.v.conv,neck_attention_safe
2304,4,fixed-sd4,graph.model.22.m.0.1.attn.pe.conv,neck_attention_safe
65536,8,w8,graph.model.22.m.0.1.attn.proj.conv,neck_attention_safe
131072,8,w8,graph.model.22.m.0.1.ffn.0.conv,neck_attention_safe
131072,8,w8,graph.model.22.m.0.1.ffn.1.conv,neck_attention_safe
147456,4,fixed-sd4,graph.model.23.detect_head.one2one_cv2.0.0.conv,detect_one2one_tower
36864,4,fixed-sd4,graph.model.23.detect_head.one2one_cv2.0.1.conv,detect_one2one_tower
256,8,w8,graph.model.23.detect_head.one2one_cv2.0.2,detect_one2one_predictor
294912,4,fixed-sd4,graph.model.23.detect_head.one2one_cv2.1.0.conv,detect_one2one_tower
36864,4,fixed-sd4,graph.model.23.detect_head.one2one_cv2.1.1.conv,detect_one2one_tower
256,8,w8,graph.model.23.detect_head.one2one_cv2.1.2,detect_one2one_predictor
294912,4,fixed-sd4,graph.model.23.detect_head.one2one_cv2.2.0.conv,detect_one2one_tower
36864,4,fixed-sd4,graph.model.23.detect_head.one2one_cv2.2.1.conv,detect_one2one_tower
256,8,w8,graph.model.23.detect_head.one2one_cv2.2.2,detect_one2one_predictor
2304,8,w8,graph.model.23.detect_head.one2one_cv3.0.0.0.conv,detect_one2one_tower
65536,8,w8,graph.model.23.detect_head.one2one_cv3.0.0.1.conv,detect_one2one_tower
2304,8,w8,graph.model.23.detect_head.one2one_cv3.0.1.0.conv,detect_one2one_tower
65536,8,w8,graph.model.23.detect_head.one2one_cv3.0.1.1.conv,detect_one2one_tower
20480,8,w8,graph.model.23.detect_head.one2one_cv3.0.2,detect_one2one_predictor
4608,8,w8,graph.model.23.detect_head.one2one_cv3.1.0.0.conv,detect_one2one_tower
131072,8,w8,graph.model.23.detect_head.one2one_cv3.1.0.1.conv,detect_one2one_tower
2304,8,w8,graph.model.23.detect_head.one2one_cv3.1.1.0.conv,detect_one2one_tower
65536,8,w8,graph.model.23.detect_head.one2one_cv3.1.1.1.conv,detect_one2one_tower
20480,8,w8,graph.model.23.detect_head.one2one_cv3.1.2,detect_one2one_predictor
4608,8,w8,graph.model.23.detect_head.one2one_cv3.2.0.0.conv,detect_one2one_tower
131072,8,w8,graph.model.23.detect_head.one2one_cv3.2.0.1.conv,detect_one2one_tower
2304,8,w8,graph.model.23.detect_head.one2one_cv3.2.1.0.conv,detect_one2one_tower
65536,8,w8,graph.model.23.detect_head.one2one_cv3.2.1.1.conv,detect_one2one_tower
20480,4,fixed-sd4,graph.model.23.detect_head.one2one_cv3.2.2,detect_one2one_predictor
147456,8,w8,graph.model.23.pose_head.one2one_cv2.0.0.conv,pose_one2one_tower
36864,8,w8,graph.model.23.pose_head.one2one_cv2.0.1.conv,pose_one2one_tower
256,8,w8,graph.model.23.pose_head.one2one_cv2.0.2,pose_one2one_predictor
294912,4,w4,graph.model.23.pose_head.one2one_cv2.1.0.conv,pose_one2one_tower
36864,8,w8,graph.model.23.pose_head.one2one_cv2.1.1.conv,pose_one2one_tower
256,8,w8,graph.model.23.pose_head.one2one_cv2.1.2,pose_one2one_predictor
294912,8,w8,graph.model.23.pose_head.one2one_cv2.2.0.conv,pose_one2one_tower
36864,8,w8,graph.model.23.pose_head.one2one_cv2.2.1.conv,pose_one2one_tower
256,8,w8,graph.model.23.pose_head.one2one_cv2.2.2,pose_one2one_predictor
2304,8,w8,graph.model.23.pose_head.one2one_cv3.0.0.0.conv,pose_one2one_tower
65536,8,w8,graph.model.23.pose_head.one2one_cv3.0.0.1.conv,pose_one2one_tower
2304,8,w8,graph.model.23.pose_head.one2one_cv3.0.1.0.conv,pose_one2one_tower
65536,8,w8,graph.model.23.pose_head.one2one_cv3.0.1.1.conv,pose_one2one_tower
512,8,w8,graph.model.23.pose_head.one2one_cv3.0.2,pose_one2one_predictor
4608,8,w8,graph.model.23.pose_head.one2one_cv3.1.0.0.conv,pose_one2one_tower
131072,8,w8,graph.model.23.pose_head.one2one_cv3.1.0.1.conv,pose_one2one_tower
